project,file_accession,file_name,category,size_bytes,publisher_checksum_as_returned,public_locations_json,sample_assignment_status,retrieval_status
PXD000376,82fce2c9982570b9bce0ab0881465963b8d2b2aa854983ac02b229c132904fdd,Naive_CD4_GelfrEE_B01-1.raw,RAW,330101301,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B01-1.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B01-1.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,5e674ebfdb92a10992de66d65101dcf04f2a19dbb2a08c7095826222ab27d75c,Individualome_Naive-Memory_iTRAQ_f06.raw,RAW,516633386,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Individualome_Naive-Memory_iTRAQ_f06.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Individualome_Naive-Memory_iTRAQ_f06.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,70ca4edef414b0424f647a9f1ed3fc10d3166a0523725fb5a0cf1a4388351a91,Naive_CD4_GelfrEE_B01_.raw,RAW,98498047,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B01_.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B01_.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,cb8ed0ca7c9ff54a2a4a084466c176f264293dae71036ed4bc8f52855b125cd2,naive_CD4_nuclear_RPLC_B12.raw,RAW,130896936,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/naive_CD4_nuclear_RPLC_B12.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/naive_CD4_nuclear_RPLC_B12.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,0060c3b47192688b2b36e645985271da36ddce879007a19ad83beddbe6dd81be,Naive_CD4_GelfrEE_B42.raw,RAW,273709034,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B42.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B42.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,607db32c9b733f874a4ec4e367088c56f6e293cb957a609e0c0a230ed205f5f3,Naive_CD4_GelfrEE_B15.raw,RAW,300795632,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B15.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B15.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,0e4777e3bc47a2e3417da12fd4d0c98bd206a49a3e13f1c2bce4b9eac447a3df,C10.raw,RAW,273229884,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/C10.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/C10.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,3a52a3aac044ba49f6c4b6727a7531e33d10a33eac466d94e62203d183ed4de3,naive_CD4_RPLC_A2.raw,RAW,204565228,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/naive_CD4_RPLC_A2.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/naive_CD4_RPLC_A2.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,0b650e825a464f3f0db1d730016fdddce9f5ca9ba32c645091066933d56a0c51,A10.raw,RAW,245430792,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/A10.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/A10.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,5711362ae76c52ed1be2a96e5fa21146f46ba2431730937f59c89f7a7d6e9a52,Naive_CD4_IG_C3.raw,RAW,416398262,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_IG_C3.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_IG_C3.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,e46b5ad77febe28b9ab44578a43600118c99b09568c97b09c4ab007d546a5e07,naive_CD4_RPLC_A4.raw,RAW,165656806,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/naive_CD4_RPLC_A4.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/naive_CD4_RPLC_A4.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,46e552110399c77b8127a71da2ff5892180668b909dbb4f227580ad7ed6a24b8,Naive_CD4_SCX_later_Elite_f18.raw,RAW,370457393,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_SCX_later_Elite_f18.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_SCX_later_Elite_f18.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,a20055b902238e9f6bbbd5f86d8173398c7e5a9de8bf10eee0a69b6911b49e19,A11.raw,RAW,247764294,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/A11.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/A11.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,b0bd07aba2d51c56e9392abbbe23c1eb063bafdc415c9ca74d3e9dfccef69c16,Naive_CD4_early_SCX_Elite_f7.raw,RAW,498447506,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_early_SCX_Elite_f7.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_early_SCX_Elite_f7.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,bc4d3c2c26fac0f6c8b149979a1de67f7f9c14e40352be35ed3585ea496e4864,Naive-CD4_in-gel_leftover_b9.raw,RAW,866659122,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive-CD4_in-gel_leftover_b9.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive-CD4_in-gel_leftover_b9.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,b51dfd336e61ca80a9909440fdae4f2e90e7dc927ba7035abb2a750c6a190485,Naive_CD4_early_SCX_Elite_f4.raw,RAW,496173683,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_early_SCX_Elite_f4.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_early_SCX_Elite_f4.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,f3b29f0e43586fd1ea9f0dfcabaa3e069343dd7230017c118b36fc8d42ac5e18,Individualome_Naive-Memory_iTRAQ_f17.raw,RAW,450866690,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Individualome_Naive-Memory_iTRAQ_f17.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Individualome_Naive-Memory_iTRAQ_f17.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,285ac849790f1c29dbc91999d3040a2180525018890cd52aa0adb8e7664004fd,Naive_CD4_GelfrEE_B33.raw,RAW,277563038,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B33.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B33.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,60ed70f899bb0d819774bbcafdb67c25afc8f2fa35d4d1c865394ebea9934a1c,Naive_CD4_IG_A12.raw,RAW,264457303,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_IG_A12.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_IG_A12.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,deb8731b0b3972d32ed0e22acdb11e4a554d15cf7e0298a5af3f4a0226319582,Naive_CD4_IG_C4.raw,RAW,397931954,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_IG_C4.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_IG_C4.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,17feb0bea0fb192a2eef0dc078fcffb0bf65d07ec70ff6903b82392cc5c322e3,Naive-CD4_in-gel_leftover_b10.raw,RAW,892935656,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive-CD4_in-gel_leftover_b10.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive-CD4_in-gel_leftover_b10.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,561526d1d77d07e21bb0b08bd9b7a8954642eed8a84b86a934439213b15bc3d0,Individualome_Naive-Memory_iTRAQ_f01.raw,RAW,596715200,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Individualome_Naive-Memory_iTRAQ_f01.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Individualome_Naive-Memory_iTRAQ_f01.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
PXD000376,3544ac7fc285b922f9fc8e80dea8dd1a7209eb4fcc8ea634e543e4f1264616e5,Naive_CD4_GelfrEE_B57.raw,RAW,358085052,,"[{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000469"",""name"":""FTP Protocol"",""value"":""ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B57.raw""},{""@type"":""CvParam"",""cvLabel"":""PRIDE"",""accession"":""PRIDE:0000468"",""name"":""Aspera Protocol"",""value"":""prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2015/11/PXD000376/Naive_CD4_GelfrEE_B57.raw""}]",not_yet_confirmed_from_metadata_or_methods,metadata_only_not_downloaded
