sample,query_name,event,qualified_anchor20,qualified_anchor10,sensitivity_same_event_qualified,sensitivity_primary_events,dp_status,dp_normal_score,dp_plus29_score,dp_plus29_minus_normal
NCD4,DRR465268.1570087,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
NCD4,DRR465268.1654140,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,174.0,141.0,-33.0
NCD4,DRR465268.1671024,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,182.0,149.0,-33.0
NCD4,DRR465268.1691654,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,197.0,164.0,-33.0
NCD4,DRR465268.1797994,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,197.0,164.0,-33.0
NCD4,DRR465268.2221526,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
NCD4,DRR465268.2228582,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
NCD4,DRR465268.2369737,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,171.0,138.0,-33.0
NCD4,DRR465268.2441239,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,183.0,150.0,-33.0
NCD4,DRR465268.2444734,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,180.0,147.0,-33.0
NCD4,DRR465268.2476259,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,185.0,156.0,-29.0
NCD4,DRR465268.2479816,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,180.0,147.0,-33.0
NCD4,DRR465268.2501976,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,188.0,155.0,-33.0
NCD4,DRR465268.2588043,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
NCD4,DRR465268.2650843,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,185.0,152.0,-33.0
NCD4,DRR465268.2718461,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,187.0,154.0,-33.0
NCD4,DRR465268.2796484,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,178.0,145.0,-33.0
NCD4,DRR465268.2911661,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,177.0,151.0,-26.0
NCD4,DRR465268.2969130,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,160.0,127.0,-33.0
NCD4,DRR465268.2988957,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,197.0,164.0,-33.0
NCD4,DRR465268.3162748,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,182.0,149.0,-33.0
NCD4,DRR465268.3369938,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,185.0,152.0,-33.0
NCD4,DRR465268.3448171,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,169.0,136.0,-33.0
NCD4,DRR465268.3473857,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,188.0,155.0,-33.0
NCD4,DRR465268.3564720,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,156.0,123.0,-33.0
NCD4,DRR465268.3583261,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,152.0,123.0,-29.0
NCD4,DRR465268.3593686,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
NCD4,DRR465268.3678067,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
NCD4,DRR465268.3749341,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,190.0,157.0,-33.0
NCD4,DRR465268.3862412,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,132.0,99.0,-33.0
NCD4,DRR465268.3951894,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
NCD4,DRR465268.3979538,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,195.0,162.0,-33.0
NCD4,DRR465268.4034214,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,193.0,160.0,-33.0
NCD4,DRR465268.4124471,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,168.0,136.0,-32.0
NCD4,DRR465268.4138598,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,174.0,141.0,-33.0
NCD4,DRR465268.4299130,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,183.0,154.0,-29.0
NCD4,DRR465268.4370949,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,170.0,138.0,-32.0
NCD4,DRR465268.4413891,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,141.0,112.0,-29.0
NCD4,DRR465268.4424679,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,187.0,156.0,-31.0
NCD4,DRR465268.4494877,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,182.0,149.0,-33.0
NCD4,DRR465268.4530750,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,196.0,163.0,-33.0
NCD4,DRR465268.4603050,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,197.0,164.0,-33.0
NCD4,DRR465268.4632972,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,195.0,162.0,-33.0
NCD4,DRR465268.4633620,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,191.0,158.0,-33.0
NCD4,DRR465268.4692196,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
NCD4,DRR465268.4727470,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,167.0,134.0,-33.0
NCD4,DRR465268.4744962,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,163.0,-29.0
NCD4,DRR465268.4745869,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
NCD4,DRR465268.4920717,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,159.0,126.0,-33.0
NCD4,DRR465268.4993639,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
NCD4,DRR465268.5002093,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
NCD4,DRR465268.5013806,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,181.0,148.0,-33.0
NCD4,DRR465268.5129170,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,191.0,158.0,-33.0
NCD4,DRR465268.5140897,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,153.0,124.0,-29.0
NCD4,DRR465268.5190745,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,139.0,110.0,-29.0
NCD4,DRR465268.5242137,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,169.0,140.0,-29.0
NCD4,DRR465268.5257228,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,196.0,163.0,-33.0
NCD4,DRR465268.5501580,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,193.0,160.0,-33.0
NCD4,DRR465268.5521357,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,198.0,165.0,-33.0
NCD4,DRR465268.5533162,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,165.0,133.0,-32.0
MemCD4,DRR465269.76345,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,170.0,141.0,-29.0
MemCD4,DRR465269.97382,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
MemCD4,DRR465269.109251,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,197.0,164.0,-33.0
MemCD4,DRR465269.129698,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,182.0,149.0,-33.0
MemCD4,DRR465269.178130,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,177.0,144.0,-33.0
MemCD4,DRR465269.210649,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
MemCD4,DRR465269.233406,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
MemCD4,DRR465269.279709,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,197.0,164.0,-33.0
MemCD4,DRR465269.335722,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,158.0,125.0,-33.0
MemCD4,DRR465269.407831,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,174.0,141.0,-33.0
MemCD4,DRR465269.442200,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
MemCD4,DRR465269.479229,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
MemCD4,DRR465269.557719,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
MemCD4,DRR465269.581614,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,155.0,133.0,-22.0
MemCD4,DRR465269.618568,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,188.0,159.0,-29.0
MemCD4,DRR465269.653641,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,197.0,164.0,-33.0
MemCD4,DRR465269.712511,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,200.0,167.0,-33.0
MemCD4,DRR465269.819722,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,195.0,162.0,-33.0
MemCD4,DRR465269.900739,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
MemCD4,DRR465269.922187,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,136.0,107.0,-29.0
MemCD4,DRR465269.927026,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,194.0,161.0,-33.0
MemCD4,DRR465269.959787,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
MemCD4,DRR465269.980867,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,183.0,154.0,-29.0
MemCD4,DRR465269.1015910,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,197.0,164.0,-33.0
MemCD4,DRR465269.1164360,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,195.0,162.0,-33.0
MemCD4,DRR465269.1190544,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
MemCD4,DRR465269.1379959,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,87.0,58.0,-29.0
MemCD4,DRR465269.1395480,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,197.0,164.0,-33.0
MemCD4,DRR465269.1422327,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,162.0,137.0,-25.0
MemCD4,DRR465269.1533144,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,197.0,164.0,-33.0
MemCD4,DRR465269.1570917,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
MemCD4,DRR465269.1611629,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,182.0,149.0,-33.0
MemCD4,DRR465269.1863402,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,175.0,142.0,-33.0
MemCD4,DRR465269.1888663,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,183.0,150.0,-33.0
MemCD4,DRR465269.1978303,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,170.0,137.0,-33.0
MemCD4,DRR465269.2075344,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,190.0,157.0,-33.0
MemCD4,DRR465269.2182886,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,190.0,157.0,-33.0
MemCD4,DRR465269.2239061,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,190.0,157.0,-33.0
MemCD4,DRR465269.2303475,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,173.0,151.0,-22.0
MemCD4,DRR465269.2417967,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,195.0,162.0,-33.0
MemCD4,DRR465269.2440348,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
MemCD4,DRR465269.2497619,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,175.0,142.0,-33.0
MemCD4,DRR465269.2530246,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
MemCD4,DRR465269.2581910,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,167.0,134.0,-33.0
MemCD4,DRR465269.2587522,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,187.0,154.0,-33.0
MemCD4,DRR465269.2692732,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,195.0,162.0,-33.0
MemCD4,DRR465269.2723469,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
MemCD4,DRR465269.2727734,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
MemCD4,DRR465269.2750095,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,196.0,163.0,-33.0
