site,position_0based,position_1based,modality,track_name,strand,assay,ontology_curie,reference,alternate,prediction_availability,delta_alt_minus_ref
offset_+40,42434993,42434994,splice_sites,donor,-,,,1.9744038581848145e-07,2.4586915969848633e-07,both,4.842877388000488e-08
offset_+41,42434994,42434995,splice_sites,acceptor,+,,,1.0356307029724121e-06,1.7061829566955566e-06,both,6.705522537231445e-07
offset_+41,42434994,42434995,splice_sites,acceptor,-,,,1.685693860054016e-07,2.7939677238464355e-07,both,1.1082738637924194e-07
offset_+41,42434994,42434995,splice_sites,donor,+,,,2.1904706954956055e-06,5.602836608886719e-06,both,3.4123659133911133e-06
offset_+41,42434994,42434995,splice_sites,donor,-,,,2.726912498474121e-06,3.1888484954833984e-06,both,4.6193599700927734e-07
offset_+42,42434995,42434996,splice_sites,acceptor,+,,,2.039596438407898e-07,3.5762786865234375e-07,both,1.5366822481155396e-07
offset_+42,42434995,42434996,splice_sites,acceptor,-,,,4.0605664253234863e-07,6.891787052154541e-07,both,2.8312206268310547e-07
offset_+42,42434995,42434996,splice_sites,donor,+,,,8.568167686462402e-07,2.339482307434082e-06,both,1.4826655387878418e-06
offset_+42,42434995,42434996,splice_sites,donor,-,,,7.497146725654602e-08,1.0570511221885681e-07,both,3.073364496231079e-08
offset_+43,42434996,42434997,splice_sites,acceptor,+,,,6.008148193359375e-05,7.724761962890625e-05,both,1.71661376953125e-05
offset_+43,42434996,42434997,splice_sites,acceptor,-,,,3.0547380447387695e-07,3.688037395477295e-07,both,6.332993507385254e-08
offset_+43,42434996,42434997,splice_sites,donor,+,,,5.885958671569824e-07,9.685754776000977e-07,both,3.7997961044311523e-07
offset_+43,42434996,42434997,splice_sites,donor,-,,,4.4517219066619873e-07,4.880130290985107e-07,both,4.284083843231201e-08
offset_+44,42434997,42434998,splice_sites,acceptor,+,,,2.60770320892334e-07,4.3213367462158203e-07,both,1.7136335372924805e-07
offset_+44,42434997,42434998,splice_sites,acceptor,-,,,1.0244548320770264e-07,1.3969838619232178e-07,both,3.725290298461914e-08
offset_+44,42434997,42434998,splice_sites,donor,+,,,4.0605664253234863e-07,7.82310962677002e-07,both,3.762543201446533e-07
offset_+44,42434997,42434998,splice_sites,donor,-,,,4.4517219066619873e-07,5.21540641784668e-07,both,7.636845111846924e-08
offset_+45,42434998,42434999,splice_sites,acceptor,+,,,2.4586915969848633e-07,3.5762786865234375e-07,both,1.1175870895385742e-07
offset_+45,42434998,42434999,splice_sites,acceptor,-,,,2.868473529815674e-07,3.7997961044311523e-07,both,9.313225746154785e-08
offset_+45,42434998,42434999,splice_sites,donor,+,,,6.668269634246826e-07,1.2069940567016602e-06,both,5.401670932769775e-07
offset_+45,42434998,42434999,splice_sites,donor,-,,,6.007030606269836e-08,6.845220923423767e-08,both,8.381903171539307e-09
offset_+46,42434999,42435000,splice_sites,acceptor,+,,,1.3709068298339844e-06,1.8775463104248047e-06,both,5.066394805908203e-07
offset_+46,42434999,42435000,splice_sites,acceptor,-,,,2.868473529815674e-07,3.5762786865234375e-07,both,7.078051567077637e-08
offset_+46,42434999,42435000,splice_sites,donor,+,,,1.1399388313293457e-06,1.996755599975586e-06,both,8.568167686462402e-07
offset_+46,42434999,42435000,splice_sites,donor,-,,,2.1047890186309814e-07,2.384185791015625e-07,both,2.7939677238464355e-08
offset_+47,42435000,42435001,splice_sites,acceptor,+,,,1.7583370208740234e-06,3.3974647521972656e-06,both,1.6391277313232422e-06
offset_+47,42435000,42435001,splice_sites,acceptor,-,,,6.5267086029052734e-06,1.150369644165039e-05,both,4.976987838745117e-06
offset_+47,42435000,42435001,splice_sites,donor,+,,,1.2889504432678223e-06,3.084540367126465e-06,both,1.7955899238586426e-06
offset_+47,42435000,42435001,splice_sites,donor,-,,,2.1904706954956055e-06,2.816319465637207e-06,both,6.258487701416016e-07
offset_+48,42435001,42435002,splice_sites,acceptor,+,,,4.731118679046631e-07,7.115304470062256e-07,both,2.384185791015625e-07
offset_+48,42435001,42435002,splice_sites,acceptor,-,,,1.7415732145309448e-07,2.169981598854065e-07,both,4.284083843231201e-08
offset_+48,42435001,42435002,splice_sites,donor,+,,,9.424984455108643e-07,1.7061829566955566e-06,both,7.636845111846924e-07
offset_+48,42435001,42435002,splice_sites,donor,-,,,1.3969838619232178e-07,1.6391277313232422e-07,both,2.421438694000244e-08
offset_+49,42435002,42435003,splice_sites,acceptor,+,,,7.82310962677002e-07,1.169741153717041e-06,both,3.8743019104003906e-07
offset_+49,42435002,42435003,splice_sites,acceptor,-,,,1.126900315284729e-07,1.3969838619232178e-07,both,2.7008354663848877e-08
offset_+49,42435002,42435003,splice_sites,donor,+,,,9.424984455108643e-07,1.7061829566955566e-06,both,7.636845111846924e-07
offset_+49,42435002,42435003,splice_sites,donor,-,,,2.726912498474121e-06,2.995133399963379e-06,both,2.682209014892578e-07
offset_+5,42434958,42434959,splice_sites,acceptor,+,,,5.550682544708252e-07,3.7997961044311523e-07,both,-1.7508864402770996e-07
offset_+5,42434958,42434959,splice_sites,acceptor,-,,,1.0058283805847168e-06,8.307397365570068e-07,both,-1.7508864402770996e-07
offset_+5,42434958,42434959,splice_sites,donor,+,,,1.3262033462524414e-06,2.4884939193725586e-06,both,1.1622905731201172e-06
offset_+5,42434958,42434959,splice_sites,donor,-,,,3.7997961044311523e-07,8.475035429000854e-08,both,-2.952292561531067e-07
offset_+50,42435003,42435004,splice_sites,acceptor,+,,,2.60770320892334e-07,4.4517219066619873e-07,both,1.8440186977386475e-07
offset_+50,42435003,42435004,splice_sites,acceptor,-,,,2.5331974029541016e-07,3.688037395477295e-07,both,1.1548399925231934e-07
offset_+50,42435003,42435004,splice_sites,donor,+,,,1.5050172805786133e-06,3.084540367126465e-06,both,1.5795230865478516e-06
offset_+50,42435003,42435004,splice_sites,donor,-,,,1.1594966053962708e-07,1.4435499906539917e-07,both,2.8405338525772095e-08
offset_+51,42435004,42435005,splice_sites,acceptor,+,,,1.0654330253601074e-06,1.5050172805786133e-06,both,4.3958425521850586e-07
offset_+51,42435004,42435005,splice_sites,acceptor,-,,,1.2759119272232056e-07,1.5366822481155396e-07,both,2.60770320892334e-08
offset_+51,42435004,42435005,splice_sites,donor,+,,,4.731118679046631e-07,8.568167686462402e-07,both,3.8370490074157715e-07
offset_+51,42435004,42435005,splice_sites,donor,-,,,1.3969838619232178e-07,1.5832483768463135e-07,both,1.862645149230957e-08
offset_+6,42434959,42434960,splice_sites,acceptor,+,,,1.601874828338623e-06,3.844499588012695e-06,both,2.2426247596740723e-06
offset_+6,42434959,42434960,splice_sites,acceptor,-,,,1.6540288925170898e-06,1.2516975402832031e-06,both,-4.023313522338867e-07
offset_+6,42434959,42434960,splice_sites,donor,+,,,1.9371509552001953e-06,3.293156623840332e-06,both,1.3560056686401367e-06
offset_+6,42434959,42434960,splice_sites,donor,-,,,3.3527612686157227e-07,3.688037395477295e-07,both,3.3527612686157227e-08
offset_+7,42434960,42434961,splice_sites,acceptor,+,,,1.9744038581848145e-07,3.5762786865234375e-07,both,1.601874828338623e-07
offset_+7,42434960,42434961,splice_sites,acceptor,-,,,1.685693860054016e-07,1.3597309589385986e-07,both,-3.259629011154175e-08
offset_+7,42434960,42434961,splice_sites,donor,+,,,2.4586915969848633e-07,6.258487701416016e-07,both,3.7997961044311523e-07
offset_+7,42434960,42434961,splice_sites,donor,-,,,2.169981598854065e-07,2.1047890186309814e-07,both,-6.51925802230835e-09
offset_+8,42434961,42434962,splice_sites,acceptor,+,,,3.259629011154175e-07,4.880130290985107e-07,both,1.6205012798309326e-07
offset_+8,42434961,42434962,splice_sites,acceptor,-,,,2.868473529815674e-07,2.9616057872772217e-07,both,9.313225746154785e-09
offset_+8,42434961,42434962,splice_sites,donor,+,,,2.115964889526367e-06,5.781650543212891e-06,both,3.6656856536865234e-06
offset_+8,42434961,42434962,splice_sites,donor,-,,,1.3131648302078247e-07,1.0570511221885681e-07,both,-2.561137080192566e-08
offset_+9,42434962,42434963,splice_sites,acceptor,+,,,3.1478703022003174e-07,5.029141902923584e-07,both,1.8812716007232666e-07
offset_+9,42434962,42434963,splice_sites,acceptor,-,,,3.1478703022003174e-07,2.868473529815674e-07,both,-2.7939677238464355e-08
offset_+9,42434962,42434963,splice_sites,donor,+,,,5.699694156646729e-07,1.601874828338623e-06,both,1.0319054126739502e-06
offset_+9,42434962,42434963,splice_sites,donor,-,,,1.8533319234848022e-07,1.9744038581848145e-07,both,1.210719347000122e-08
offset_-1,42434952,42434953,splice_sites,acceptor,+,,,3.5017728805541992e-06,7.62939453125e-06,both,4.127621650695801e-06
offset_-1,42434952,42434953,splice_sites,acceptor,-,,,7.497146725654602e-08,4.880130290985107e-07,both,4.130415618419647e-07
offset_-1,42434952,42434953,splice_sites,donor,+,,,4.00543212890625e-05,0.00014209747314453125,both,0.00010204315185546875
offset_-1,42434952,42434953,splice_sites,donor,-,,,4.3213367462158203e-07,1.0654330253601074e-06,both,6.332993507385254e-07
offset_-10,42434943,42434944,splice_sites,acceptor,+,,,7.82310962677002e-07,1.0356307029724121e-06,both,2.5331974029541016e-07
offset_-10,42434943,42434944,splice_sites,acceptor,-,,,1.0244548320770264e-07,1.3969838619232178e-07,both,3.725290298461914e-08
offset_-10,42434943,42434944,splice_sites,donor,+,,,8.866190910339355e-07,1.3709068298339844e-06,both,4.842877388000488e-07
offset_-10,42434943,42434944,splice_sites,donor,-,,,9.033828973770142e-08,1.3969838619232178e-07,both,4.936009645462036e-08
