chromosome,start_0based,end_0based_exclusive,strand,track_name,assay,ontology_curie,reference,alternate,prediction_availability,delta_alt_minus_ref
chr21,42404184,42447056,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0004689870111178607,0.00046372137148864567,both,-5.265639629215002e-06
chr21,42405513,42437487,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,6.583296635653824e-05,6.904693873366341e-05,both,3.213972377125174e-06
chr21,42405513,42437487,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0002515138767194003,0.0002584159665275365,both,6.902089808136225e-06
chr21,42405513,42437541,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.444068715907633e-05,3.523912528180517e-05,both,7.984381227288395e-07
chr21,42405513,42437541,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00012979893654119223,0.00013206267612986267,both,2.2637395886704326e-06
chr21,42405513,42437854,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.0332804928766564e-05,4.097712371731177e-05,both,6.443187885452062e-07
chr21,42405513,42437854,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0001528505381429568,0.00015487663040403277,both,2.0260922610759735e-06
chr21,42405513,42437858,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.737544102477841e-05,3.777221354539506e-05,both,3.967725206166506e-07
chr21,42405513,42437858,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0001415210572304204,0.00014285254292190075,both,1.3314856914803386e-06
chr21,42405513,42439049,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.146958963247016e-05,4.208701284369454e-05,both,6.174232112243772e-07
chr21,42405513,42439049,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00015070171502884477,0.0001525936386315152,both,1.8919236026704311e-06
chr21,42405513,42441747,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.6228135286364704e-05,3.649343125289306e-05,both,2.652959665283561e-07
chr21,42405513,42441747,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00013656981172971427,0.00013685245357919484,both,2.8264184948056936e-07
chr21,42405513,42442451,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,8.574336243327707e-05,8.707488450454548e-05,both,1.3315220712684095e-06
chr21,42405513,42442451,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00029230417567305267,0.00029512192122638226,both,2.817745553329587e-06
chr21,42405513,42443094,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.0906514439266175e-05,3.10760697175283e-05,both,1.6955527826212347e-07
chr21,42405513,42443094,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00011696934961946681,0.0001172089614556171,both,2.396118361502886e-07
chr21,42405513,42443153,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.063855183427222e-05,3.0836650694254786e-05,both,1.9809885998256505e-07
chr21,42405513,42443153,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00011661138705676422,0.00011698395246639848,both,3.725654096342623e-07
chr21,42405513,42443311,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,6.072072574170306e-05,6.081489846110344e-05,both,9.417271940037608e-08
chr21,42405513,42443311,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00021890974312555045,0.0002190124650951475,both,1.0272196959704161e-07
chr21,42405513,42444533,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.3934695238713175e-05,3.387419928913005e-05,both,-6.04959495831281e-08
chr21,42405513,42444533,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00014581243158318102,0.00014527351595461369,both,-5.38915628567338e-07
chr21,42405513,42447056,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,5.5902903113747016e-05,5.570637222263031e-05,both,-1.9653089111670852e-07
chr21,42405513,42447056,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0002227238001069054,0.0002213811530964449,both,-1.342647010460496e-06
chr21,42405917,42437487,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,6.738040974596515e-05,7.070552237564698e-05,both,3.3251126296818256e-06
chr21,42405917,42437487,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00023976793454494327,0.0002468156162649393,both,7.047681719996035e-06
chr21,42405917,42437541,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.6930679925717413e-05,3.7807782064192e-05,both,8.771021384745836e-07
chr21,42405917,42437541,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0001337713620159775,0.00013627267617266625,both,2.50131415668875e-06
chr21,42405917,42437854,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.852163354167715e-05,3.910157465725206e-05,both,5.799411155749112e-07
chr21,42405917,42437854,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00014322846254799515,0.00014494832430500537,both,1.7198617570102215e-06
chr21,42405917,42437858,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.548841777956113e-05,3.583910074667074e-05,both,3.5068296710960567e-07
chr21,42405917,42437858,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00013395365385804325,0.00013509512064047158,both,1.1414667824283242e-06
chr21,42405917,42439049,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.004207585239783e-05,4.070794238941744e-05,both,6.658665370196104e-07
chr21,42405917,42439049,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00014713517157360911,0.0001491880539106205,both,2.052882337011397e-06
chr21,42405917,42441747,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.594987720134668e-05,3.631346771726385e-05,both,3.6359051591716707e-07
chr21,42405917,42441747,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00013270309136714786,0.0001332896645180881,both,5.865731509402394e-07
chr21,42405917,42442451,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,8.211618842324242e-05,8.367760165128857e-05,both,1.561413228046149e-06
chr21,42405917,42442451,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00025998271303251386,0.00026345477090217173,both,3.472057869657874e-06
chr21,42405917,42443094,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.480855957604945e-05,3.4990182030014694e-05,both,1.8162245396524668e-07
chr21,42405917,42443094,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00012314216291997582,0.00012349708413239568,both,3.549212124198675e-07
chr21,42405917,42443153,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.4302036510780454e-05,3.4544173104222864e-05,both,2.4213659344241023e-07
chr21,42405917,42443153,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0001232416689163074,0.00012385584705043584,both,6.141781341284513e-07
chr21,42405917,42443311,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,5.952627179794945e-05,5.964440424577333e-05,both,1.181324478238821e-07
chr21,42405917,42443311,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0001944293617270887,0.0001950654259417206,both,6.360642146319151e-07
chr21,42405917,42444533,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.5205735912313685e-05,3.52984934579581e-05,both,9.27575456444174e-08
chr21,42405917,42444533,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00013909082917962223,0.0001392812846461311,both,1.9045546650886536e-07
chr21,42405917,42447056,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,5.795915421913378e-05,5.79792213102337e-05,both,2.006709109991789e-08
chr21,42405917,42447056,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0002155221882276237,0.00021521247981581837,both,-3.097084118053317e-07
chr21,42406361,42437487,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.0004441116761881858,0.00046719671809114516,both,2.3085041902959347e-05
chr21,42406361,42437487,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0014522353885695338,0.0015094013651832938,both,5.7165976613759995e-05
chr21,42406361,42437541,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,9.613361908122897e-05,0.00010004373325500637,both,3.9101141737774014e-06
chr21,42406361,42437541,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00026784095098264515,0.00027680720086209476,both,8.966249879449606e-06
chr21,42406361,42437854,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,5.632920147036202e-05,5.704194700228982e-05,both,7.127455319277942e-07
chr21,42406361,42437854,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00020348162797745317,0.00020627690537367016,both,2.7952773962169886e-06
chr21,42406361,42437858,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,5.36770821781829e-05,5.3925716201774776e-05,both,2.4863402359187603e-07
chr21,42406361,42437858,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00018901920702774078,0.0001903058437164873,both,1.286636688746512e-06
chr21,42406361,42439049,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,6.811394268879667e-05,6.949436647119e-05,both,1.3804237823933363e-06
chr21,42406361,42439049,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00024750473676249385,0.0002522065187804401,both,4.701782017946243e-06
chr21,42406361,42441747,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,7.650122279301286e-05,7.778277358738706e-05,both,1.2815507943741977e-06
chr21,42406361,42441747,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0002577264385763556,0.0002617932332213968,both,4.066794645041227e-06
chr21,42406361,42442451,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.0007268651970662177,0.0007401191396638751,both,1.3253942597657442e-05
chr21,42406361,42442451,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.002863285830244422,0.0028614962939172983,both,-1.789536327123642e-06
chr21,42406361,42443094,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.915773413609713e-05,3.942008697777055e-05,both,2.623528416734189e-07
chr21,42406361,42443094,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.000136061804369092,0.00013652969209942967,both,4.678877303376794e-07
chr21,42406361,42443153,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.0823757444741204e-05,4.1128361772280186e-05,both,3.0460432753898203e-07
chr21,42406361,42443153,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00014269568782765418,0.00014347945398185402,both,7.837661541998386e-07
chr21,42406361,42443311,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.00012990369577892125,0.00012906675692647696,both,-8.369388524442911e-07
chr21,42406361,42443311,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0005039934767410159,0.0004989581648260355,both,-5.0353119149804115e-06
chr21,42406361,42444533,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.00020073972700629383,0.00019665462605189532,both,-4.085100954398513e-06
chr21,42406361,42444533,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0008436455391347408,0.0008228105725720525,both,-2.083496656268835e-05
chr21,42406361,42447056,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,7.957292109495029e-05,7.8446653787978e-05,both,-1.126267306972295e-06
chr21,42406361,42447056,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00035152200143784285,0.00034444089396856725,both,-7.081107469275594e-06
chr21,42409608,42437487,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.0006570163532160223,0.0007081544026732445,both,5.113804945722222e-05
chr21,42409608,42437487,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0019197615329176188,0.002034382428973913,both,0.00011462089605629444
chr21,42409608,42437541,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.00012071619858033955,0.00012419719132594764,both,3.4809927456080914e-06
chr21,42409608,42437541,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00030558317666873336,0.00031397564453072846,both,8.392467861995101e-06
chr21,42409608,42437854,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.0001783125044312328,0.00018510835070628673,both,6.795846275053918e-06
chr21,42409608,42437854,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00046070964890532196,0.00047767104115337133,both,1.696139224804938e-05
chr21,42409608,42437858,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.00014620118599850684,0.0001493309682700783,both,3.1297822715714574e-06
chr21,42409608,42437858,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00037657233770005405,0.00038549693999812007,both,8.92460229806602e-06
chr21,42409608,42439049,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,8.983315638033673e-05,9.121216862695292e-05,both,1.3790122466161847e-06
chr21,42409608,42439049,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0002771703584585339,0.0002815396583173424,both,4.3692998588085175e-06
chr21,42409608,42441747,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,6.583039066754282e-05,6.633530574617907e-05,both,5.049150786362588e-07
chr21,42409608,42441747,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00022095617896411568,0.0002227919758297503,both,1.8357968656346202e-06
chr21,42409608,42442451,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.0005358380149118602,0.0005411060992628336,both,5.268084350973368e-06
chr21,42409608,42442451,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0016463238280266523,0.0016512838192284107,both,4.959991201758385e-06
chr21,42409608,42443094,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,6.15430690231733e-05,6.174235022626817e-05,both,1.9928120309486985e-07
chr21,42409608,42443094,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00022477116726804525,0.00022537728364113718,both,6.061163730919361e-07
chr21,42409608,42443153,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,6.392388604581356e-05,6.426213803933933e-05,both,3.382519935257733e-07
chr21,42409608,42443153,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00023218922433443367,0.00023360234627034515,both,1.4131219359114766e-06
chr21,42409608,42443311,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.0005766293033957481,0.0005644372431561351,both,-1.2192060239613056e-05
chr21,42409608,42443311,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.002257691929116845,0.0022058829199522734,both,-5.180900916457176e-05
chr21,42409608,42444533,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.0002119310520356521,0.00020693356054835021,both,-4.997491487301886e-06
chr21,42409608,42444533,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0010833184933289886,0.0010546125704422593,both,-2.870592288672924e-05
chr21,42409608,42447056,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.00011307094246149063,0.00011041051766369492,both,-2.660424797795713e-06
chr21,42409608,42447056,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0006293009500950575,0.000611198483966291,both,-1.8102466128766537e-05
chr21,42410635,42437487,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.00012821931159123778,0.00013582184328697622,both,7.602531695738435e-06
chr21,42410635,42437487,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00042024930007755756,0.00043622698285616934,both,1.597768277861178e-05
chr21,42410635,42437541,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.748797073261812e-05,4.861770503339358e-05,both,1.1297343007754534e-06
chr21,42410635,42437541,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00015428022015839815,0.00015711765445303172,both,2.8374342946335673e-06
chr21,42410635,42437854,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.477967377169989e-05,4.548045399133116e-05,both,7.007802196312696e-07
chr21,42410635,42437854,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00014943011046852916,0.0001512176386313513,both,1.7875281628221273e-06
chr21,42410635,42437858,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.174285277258605e-05,4.2152125388383865e-05,both,4.092726157978177e-07
chr21,42410635,42437858,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00013926575775258243,0.00014042061229702085,both,1.1548545444384217e-06
chr21,42410635,42439049,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.7553865442750975e-05,4.863551293965429e-05,both,1.0816474969033152e-06
chr21,42410635,42439049,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00016555498586967587,0.00016855282592587173,both,2.997840056195855e-06
chr21,42410635,42441747,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.95296337956097e-05,4.002745117759332e-05,both,4.978173819836229e-07
chr21,42410635,42441747,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00014602909504901618,0.00014705059584230185,both,1.021500793285668e-06
chr21,42410635,42442451,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.00010445616499055177,0.00010616529471008107,both,1.709129719529301e-06
chr21,42410635,42442451,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0003482592001091689,0.0003517199365887791,both,3.4607364796102047e-06
chr21,42410635,42443094,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.186745016137138e-05,3.205313259968534e-05,both,1.8568243831396103e-07
chr21,42410635,42443094,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00012420487473718822,0.00012459994468372315,both,3.9506994653493166e-07
chr21,42410635,42443153,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.175825986545533e-05,3.198259582859464e-05,both,2.2433596313931048e-07
chr21,42410635,42443153,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00012126399815315381,0.0001218180259456858,both,5.54027792531997e-07
