experiment,file_accession,group,source_line,chromosome,start0,end0,source_fields_json
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45038,chr19,46471104,46472023,"[""chr19"",""46471104"",""46472023"",""Peak_47698"",""78"",""."",""9.00088"",""20.74725"",""18.87151"",""433""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45039,chr19,46487674,46488382,"[""chr19"",""46487674"",""46488382"",""Peak_71036"",""44"",""."",""5.94206"",""11.49242"",""9.86211"",""193""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45040,chr19,46488730,46491280,"[""chr19"",""46488730"",""46491280"",""Peak_10323"",""229"",""."",""19.33522"",""61.76860"",""59.00411"",""1285""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45041,chr19,46491922,46494895,"[""chr19"",""46491922"",""46494895"",""Peak_34156"",""109"",""."",""11.33444"",""29.08026"",""27.00462"",""1216""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45042,chr19,46495530,46496098,"[""chr19"",""46495530"",""46496098"",""Peak_118850"",""17"",""."",""2.82712"",""4.00184"",""2.63278"",""48""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45043,chr19,46512222,46512755,"[""chr19"",""46512222"",""46512755"",""Peak_57162"",""62"",""."",""7.66741"",""16.32108"",""14.55645"",""284""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45044,chr19,46512902,46513962,"[""chr19"",""46512902"",""46513962"",""Peak_18567"",""168"",""."",""14.00471"",""45.07829"",""42.65171"",""441""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45045,chr19,46522629,46523580,"[""chr19"",""46522629"",""46523580"",""Peak_71954"",""43"",""."",""6.00058"",""11.20940"",""9.58530"",""740""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45046,chr19,46528687,46530048,"[""chr19"",""46528687"",""46530048"",""Peak_4946"",""306"",""."",""20.35593"",""82.76111"",""79.58295"",""752""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45047,chr19,46530204,46532279,"[""chr19"",""46530204"",""46532279"",""Peak_12618"",""208"",""."",""10.88087"",""56.06345"",""53.41231"",""510""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45048,chr19,46537059,46538185,"[""chr19"",""46537059"",""46538185"",""Peak_47699"",""78"",""."",""9.00088"",""20.74725"",""18.87151"",""354""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45049,chr19,46541726,46543252,"[""chr19"",""46541726"",""46543252"",""Peak_85479"",""32"",""."",""3.74565"",""8.18848"",""6.66001"",""860""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45050,chr19,46544555,46545201,"[""chr19"",""46544555"",""46545201"",""Peak_45602"",""82"",""."",""9.33424"",""21.89459"",""19.99172"",""205""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45051,chr19,46546253,46547100,"[""chr19"",""46546253"",""46547100"",""Peak_69272"",""46"",""."",""6.22738"",""12.00161"",""10.35644"",""699""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45052,chr19,46548674,46549506,"[""chr19"",""46548674"",""46549506"",""Peak_73015"",""43"",""."",""5.88970"",""11.01479"",""9.40003"",""142""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45053,chr19,46550181,46552463,"[""chr19"",""46550181"",""46552463"",""Peak_20860"",""156"",""."",""13.46492"",""41.84530"",""39.48749"",""873""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45054,chr19,46555129,46556587,"[""chr19"",""46555129"",""46556587"",""Peak_58251"",""61"",""."",""7.00236"",""16.01258"",""14.25974"",""768""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45055,chr19,46575442,46577928,"[""chr19"",""46575442"",""46577928"",""Peak_52144"",""70"",""."",""8.33415"",""18.50030"",""16.67917"",""2098""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45056,chr19,46599935,46600692,"[""chr19"",""46599935"",""46600692"",""Peak_44504"",""84"",""."",""8.97116"",""22.30862"",""20.39194"",""527""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45057,chr19,46601783,46604509,"[""chr19"",""46601783"",""46604509"",""Peak_13911"",""197"",""."",""17.33502"",""53.10816"",""50.51428"",""1079""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45058,chr19,46610693,46613006,"[""chr19"",""46610693"",""46613006"",""Peak_21601"",""152"",""."",""12.68648"",""40.93662"",""38.59916"",""1847""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45059,chr19,46616653,46617731,"[""chr19"",""46616653"",""46617731"",""Peak_51612"",""71"",""."",""7.69854"",""18.79681"",""16.97033"",""587""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45060,chr19,46618220,46627055,"[""chr19"",""46618220"",""46627055"",""Peak_3552"",""344"",""."",""23.52791"",""93.18566"",""89.80527"",""2432""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45061,chr19,46629775,46630198,"[""chr19"",""46629775"",""46630198"",""Peak_82029"",""34"",""."",""4.34942"",""8.74605"",""7.19626"",""215""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45062,chr19,46630646,46631312,"[""chr19"",""46630646"",""46631312"",""Peak_58038"",""61"",""."",""7.52573"",""16.06632"",""14.31209"",""284""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45063,chr19,46633220,46635307,"[""chr19"",""46633220"",""46635307"",""Peak_38519"",""98"",""."",""7.64253"",""26.13676"",""24.13175"",""700""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45064,chr19,46637914,46640301,"[""chr19"",""46637914"",""46640301"",""Peak_19454"",""163"",""."",""13.72462"",""43.78884"",""41.38902"",""1638""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45065,chr19,46647798,46648973,"[""chr19"",""46647798"",""46648973"",""Peak_68506"",""47"",""."",""6.33395"",""12.18969"",""10.53668"",""261""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45066,chr19,46659129,46661148,"[""chr19"",""46659129"",""46661148"",""Peak_16795"",""177"",""."",""13.26051"",""47.76330"",""45.27916"",""537""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45068,chr19,46661538,46662591,"[""chr19"",""46661538"",""46662591"",""Peak_11876"",""214"",""."",""16.12240"",""57.77384"",""55.08947"",""346""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45072,chr19,46713868,46716880,"[""chr19"",""46713868"",""46716880"",""Peak_12280"",""210"",""."",""17.51344"",""56.64067"",""53.97480"",""2015""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45073,chr19,46717328,46720858,"[""chr19"",""46717328"",""46720858"",""Peak_7166"",""266"",""."",""16.74525"",""71.88446"",""68.91759"",""746""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45074,chr19,46728455,46735906,"[""chr19"",""46728455"",""46735906"",""Peak_21"",""832"",""."",""46.41102"",""225.96480"",""219.75426"",""4672""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45075,chr19,46736486,46737414,"[""chr19"",""46736486"",""46737414"",""Peak_60630"",""57"",""."",""6.72226"",""15.02272"",""13.29447"",""247""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45077,chr19,46740773,46743746,"[""chr19"",""46740773"",""46743746"",""Peak_22912"",""147"",""."",""14.00136"",""39.35489"",""37.05070"",""2669""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45078,chr19,46743988,46745762,"[""chr19"",""46743988"",""46745762"",""Peak_21748"",""151"",""."",""14.33473"",""40.68787"",""38.35408"",""1024""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45079,chr19,46746629,46747354,"[""chr19"",""46746629"",""46747354"",""Peak_20735"",""156"",""."",""14.66810"",""42.03082"",""39.66895"",""344""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45080,chr19,46754743,46756388,"[""chr19"",""46754743"",""46756388"",""Peak_5480"",""295"",""."",""21.00706"",""79.74802"",""76.62950"",""865""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45081,chr19,46758833,46760147,"[""chr19"",""46758833"",""46760147"",""Peak_38054"",""99"",""."",""9.05914"",""26.34289"",""24.33035"",""830""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45082,chr19,46778470,46779481,"[""chr19"",""46778470"",""46779481"",""Peak_46902"",""79"",""."",""7.39401"",""21.07855"",""19.19345"",""523""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45083,chr19,46783631,46788033,"[""chr19"",""46783631"",""46788033"",""Peak_10396"",""228"",""."",""15.00549"",""61.40225"",""58.64248"",""1941""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45084,chr19,46788585,46789163,"[""chr19"",""46788585"",""46789163"",""Peak_39112"",""96"",""."",""9.52320"",""25.61432"",""23.61893"",""308""]"
