interface,program_id,contrast_id,inferential_role,effect,defined_effect_rows,denominator_kind,effect_max,effect_min,in_contrast_rows,max_absolute_effect_change,relevant_unit_denominator,sensitivity_only,status,strict_sign_reversal_rows
exact_symbol_ensembl_bijection,inflammation,PSC_minus_ASC,sole_discovery_family,0.008641522623497266,34,in_contrast_units_only,0.04462186340153185,-0.009178018463084747,34,0.03598034077803458,34,true,available,6
exact_symbol_ensembl_bijection,inflammation,ASC_minus_AIH,sole_discovery_family,-0.03582785233871455,47,in_contrast_units_only,-0.018734000630218794,-0.07180819311674913,47,0.03598034077803458,47,true,available,0
exact_symbol_ensembl_bijection,interferon_gamma,PSC_minus_AIH,sole_discovery_family,-0.05081283943435366,47,in_contrast_units_only,-0.02921522671053456,-0.07371506513910653,47,0.022902225704752865,47,true,available,0
exact_symbol_ensembl_bijection,interferon_gamma,PSC_minus_ASC,sole_discovery_family,0.004815430581877056,34,in_contrast_units_only,0.04575874774874222,-0.01808679512287581,34,0.04094331716686517,34,true,available,11
exact_symbol_ensembl_bijection,interferon_gamma,ASC_minus_AIH,sole_discovery_family,-0.05562827001623072,47,in_contrast_units_only,-0.034030657292411615,-0.09657158718309589,47,0.04094331716686517,47,true,available,0
exact_symbol_ensembl_bijection,oxidative_stress,PSC_minus_AIH,sole_discovery_family,-0.013897286829276823,47,in_contrast_units_only,-0.0012061452824605468,-0.0272598003358544,47,0.013362513506577578,47,true,available,0
exact_symbol_ensembl_bijection,oxidative_stress,PSC_minus_ASC,sole_discovery_family,-0.017500123803845913,34,in_contrast_units_only,0.01614531937903907,-0.030946772135012512,34,0.03364544318288498,34,true,available,1
exact_symbol_ensembl_bijection,oxidative_stress,ASC_minus_AIH,sole_discovery_family,0.0036028369745690902,47,in_contrast_units_only,0.01704948530573569,-0.030042606208315892,47,0.03364544318288498,47,true,available,13
exact_symbol_ensembl_bijection,apoptotic_signaling,PSC_minus_AIH,sole_discovery_family,-0.01999053469327583,47,in_contrast_units_only,-0.0049704206484011415,-0.03713227055389767,47,0.017141735860621843,47,true,available,0
exact_symbol_ensembl_bijection,apoptotic_signaling,PSC_minus_ASC,sole_discovery_family,-0.017075360716918286,34,in_contrast_units_only,0.018055494280767803,-0.03421709657754013,34,0.03513085499768609,34,true,available,1
exact_symbol_ensembl_bijection,apoptotic_signaling,ASC_minus_AIH,sole_discovery_family,-0.0029151739763575435,47,in_contrast_units_only,0.012358202937043927,-0.03804602897404363,47,0.03513085499768609,47,true,available,16
exact_symbol_ensembl_bijection,ets2_g1_dn_without_comparators,PSC_minus_AIH,sole_discovery_family,-0.009448452140472519,47,in_contrast_units_only,0.013190648221172552,-0.024459468480849456,47,0.02263910036164507,47,true,available,8
exact_symbol_ensembl_bijection,ets2_g1_dn_without_comparators,PSC_minus_ASC,sole_discovery_family,0.01482268531197839,34,in_contrast_units_only,0.061916050121973765,-0.0015473749688239558,34,0.047093364809995375,34,true,available,3
exact_symbol_ensembl_bijection,ets2_g1_dn_without_comparators,ASC_minus_AIH,sole_discovery_family,-0.024271137452450908,47,in_contrast_units_only,-0.001632037090805838,-0.07136450226244628,47,0.047093364809995375,47,true,available,0
exact_symbol_ensembl_bijection,reactome_ecm_organization,PSC_minus_AIH,sole_discovery_family,0.02901624572634809,47,in_contrast_units_only,0.047022477247617545,-0.003351487565268485,47,0.032367733291616574,47,true,available,1
exact_symbol_ensembl_bijection,reactome_ecm_organization,PSC_minus_ASC,sole_discovery_family,-0.02697844340200639,34,in_contrast_units_only,0.025156868465235682,-0.059346176693622965,34,0.05213531186724207,34,true,available,1
exact_symbol_ensembl_bijection,reactome_ecm_organization,ASC_minus_AIH,sole_discovery_family,0.05599468912835448,47,in_contrast_units_only,0.07738164139482606,0.0038593772611124066,47,0.05213531186724207,47,true,available,0
plus_reciprocal_entrez,ets2_g1_dn,PSC_minus_AIH,identity_sensitivity_only,-0.02197964763142668,47,in_contrast_units_only,0.003208553053195118,-0.037187789572533436,47,0.025188200684621798,47,true,available,1
plus_reciprocal_entrez,ets2_g1_dn,PSC_minus_ASC,identity_sensitivity_only,0.01914445068203774,34,in_contrast_units_only,0.07016903409669872,0.0015439352595230105,34,0.051024583414660984,34,true,available,0
plus_reciprocal_entrez,ets2_g1_dn,ASC_minus_AIH,identity_sensitivity_only,-0.04112409831346442,47,in_contrast_units_only,-0.01593589762884262,-0.0921486817281254,47,0.051024583414660984,47,true,available,0
plus_reciprocal_entrez,ets2_g1_up,PSC_minus_AIH,identity_sensitivity_only,-0.012325569865003771,47,in_contrast_units_only,0.0012606350232315933,-0.029222477303978422,47,0.01689690743897465,47,true,available,2
plus_reciprocal_entrez,ets2_g1_up,PSC_minus_ASC,identity_sensitivity_only,-0.007695596461266163,34,in_contrast_units_only,0.027317844316105067,-0.024592503900240814,34,0.03501344077737123,34,true,available,7
plus_reciprocal_entrez,ets2_g1_up,ASC_minus_AIH,identity_sensitivity_only,-0.004629973403737608,47,in_contrast_units_only,0.011940214870480581,-0.03964341418110884,47,0.03501344077737123,47,true,available,13
plus_reciprocal_entrez,ets2_g2_dn,PSC_minus_AIH,identity_sensitivity_only,-0.021777691243914266,47,in_contrast_units_only,0.002975243451622589,-0.03694952503102744,47,0.024752934695536855,47,true,available,1
plus_reciprocal_entrez,ets2_g2_dn,PSC_minus_ASC,identity_sensitivity_only,0.0254733000534606,34,in_contrast_units_only,0.07430770839251943,0.007482072582913002,34,0.04883440833905883,34,true,available,0
plus_reciprocal_entrez,ets2_g2_dn,ASC_minus_AIH,identity_sensitivity_only,-0.04725099129737487,47,in_contrast_units_only,-0.022498056601838012,-0.0960853996364337,47,0.04883440833905883,47,true,available,0
plus_reciprocal_entrez,chr21_dn,PSC_minus_AIH,identity_sensitivity_only,-0.0550110988147261,47,in_contrast_units_only,-0.01960529894028351,-0.08866186402542331,47,0.03540579987444259,47,true,available,0
plus_reciprocal_entrez,chr21_dn,PSC_minus_ASC,identity_sensitivity_only,0.05163248178375568,34,in_contrast_units_only,0.1210786085705946,0.01798171657305847,34,0.06944612678683892,34,true,available,0
plus_reciprocal_entrez,chr21_dn,ASC_minus_AIH,identity_sensitivity_only,-0.10664358059848178,47,in_contrast_units_only,-0.07123778072403919,-0.1760897073853207,47,0.06944612678683892,47,true,available,0
plus_reciprocal_entrez,inflammation,PSC_minus_AIH,identity_sensitivity_only,-0.027548063728428218,47,in_contrast_units_only,-0.010393789522239238,-0.045558809771937714,47,0.018010746043509496,47,true,available,0
plus_reciprocal_entrez,inflammation,PSC_minus_ASC,identity_sensitivity_only,0.008428314420915406,34,in_contrast_units_only,0.04453533867199422,-0.00958243162259409,34,0.03610702425107881,34,true,available,6
plus_reciprocal_entrez,inflammation,ASC_minus_AIH,identity_sensitivity_only,-0.035976378149343624,47,in_contrast_units_only,-0.018822103943154644,-0.07208340240042244,47,0.03610702425107881,47,true,available,0
plus_reciprocal_entrez,interferon_gamma,PSC_minus_AIH,identity_sensitivity_only,-0.05059732782499271,47,in_contrast_units_only,-0.029174220090149028,-0.07277310651434821,47,0.022175778689355496,47,true,available,0
plus_reciprocal_entrez,interferon_gamma,PSC_minus_ASC,identity_sensitivity_only,0.005153929490670617,34,in_contrast_units_only,0.045494773954721346,-0.01702184919868488,34,0.04034084446405073,34,true,available,11
plus_reciprocal_entrez,interferon_gamma,ASC_minus_AIH,identity_sensitivity_only,-0.05575125731566333,47,in_contrast_units_only,-0.034328149580819645,-0.09609210177971406,47,0.04034084446405073,47,true,available,0
plus_reciprocal_entrez,oxidative_stress,PSC_minus_AIH,identity_sensitivity_only,-0.014324836889808346,47,in_contrast_units_only,-0.0016181971076032475,-0.02774324892395974,47,0.013418412034151395,47,true,available,0
plus_reciprocal_entrez,oxidative_stress,PSC_minus_ASC,identity_sensitivity_only,-0.018264623740696706,34,in_contrast_units_only,0.015556983500290222,-0.03178364402160749,34,0.03382160724098693,34,true,available,1
plus_reciprocal_entrez,oxidative_stress,ASC_minus_AIH,identity_sensitivity_only,0.0039397868508883604,47,in_contrast_units_only,0.017458807131799148,-0.029881820390098568,47,0.03382160724098693,47,true,available,12
plus_reciprocal_entrez,apoptotic_signaling,PSC_minus_AIH,identity_sensitivity_only,-0.019923825619728497,47,in_contrast_units_only,-0.004864051998926033,-0.03714356689659892,47,0.017219741276870426,47,true,available,0
plus_reciprocal_entrez,apoptotic_signaling,PSC_minus_ASC,identity_sensitivity_only,-0.017202086925528715,34,in_contrast_units_only,0.01786545628886982,-0.03442182820239914,34,0.03506754321439853,34,true,available,1
plus_reciprocal_entrez,apoptotic_signaling,ASC_minus_AIH,identity_sensitivity_only,-0.0027217386941997823,47,in_contrast_units_only,0.012537588358173757,-0.037789281908598316,47,0.03506754321439853,47,true,available,16
plus_reciprocal_entrez,ets2_g1_dn_without_comparators,PSC_minus_AIH,identity_sensitivity_only,-0.010078551028664506,47,in_contrast_units_only,0.013096182228708564,-0.02570879944844373,47,0.02317473325737307,47,true,available,7
plus_reciprocal_entrez,ets2_g1_dn_without_comparators,PSC_minus_ASC,identity_sensitivity_only,0.01609697999987958,34,in_contrast_units_only,0.06348823863676412,-0.0006669712167703956,34,0.04739125863688454,34,true,available,2
plus_reciprocal_entrez,ets2_g1_dn_without_comparators,ASC_minus_AIH,identity_sensitivity_only,-0.026175531028544086,47,in_contrast_units_only,-0.0030007977711710154,-0.07356678966542862,47,0.04739125863688454,47,true,available,0
plus_reciprocal_entrez,reactome_ecm_organization,PSC_minus_AIH,identity_sensitivity_only,0.028650304814395344,47,in_contrast_units_only,0.046738594975992864,-0.003929530224907385,47,0.03257983503930273,47,true,available,1
plus_reciprocal_entrez,reactome_ecm_organization,PSC_minus_ASC,identity_sensitivity_only,-0.02721823846157445,34,in_contrast_units_only,0.025292190595252784,-0.05979807350087718,34,0.052510429056827235,34,true,available,1
plus_reciprocal_entrez,reactome_ecm_organization,ASC_minus_AIH,identity_sensitivity_only,0.055868543275969795,47,in_contrast_units_only,0.07730176816739798,0.0033581142191425606,47,0.052510429056827235,47,true,available,0
