interface,program_id,group,n,mean,sample_variance_ddof1,variance_status,score_status,units
exact_symbol_ensembl_bijection,ets2_g1_dn_without_comparators,AIH,30,3.5515700209735903,0.07650641177807926,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,reactome_ecm_organization,PSC,17,3.204286815744055,0.045207440217298424,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,reactome_ecm_organization,ASC,17,3.2312652591460616,0.08374416465645396,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,reactome_ecm_organization,AIH,30,3.175270570017707,0.06727966963385064,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g1_dn,PSC,17,3.573927423085482,0.026786362778664422,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g1_dn,ASC,17,3.5547829724034443,0.06393572998185144,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g1_dn,AIH,30,3.5959070707169087,0.09085060008713935,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g1_up,PSC,17,4.199212505092756,0.017740702949302075,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g1_up,ASC,17,4.206908101554022,0.03734617900372193,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g1_up,AIH,30,4.21153807495776,0.03343144433025217,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g2_dn,PSC,17,3.6564299889680103,0.02772751675809234,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g2_dn,ASC,17,3.6309566889145497,0.061799257412677285,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g2_dn,AIH,30,3.6782076802119246,0.0921102226508522,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,chr21_dn,PSC,17,3.5618755687408754,0.07328231290595584,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,chr21_dn,ASC,17,3.5102430869571197,0.13188496546101275,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,chr21_dn,AIH,30,3.6168866675556015,0.17876166550230424,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,inflammation,PSC,17,2.9031635139185092,0.017629423730639766,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,inflammation,ASC,17,2.894735199497594,0.031802586146286886,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,inflammation,AIH,30,2.9307115776469375,0.04517111273119552,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,interferon_gamma,PSC,17,3.7594491376468393,0.03108754427737144,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,interferon_gamma,ASC,17,3.7542952081561687,0.040206432844097674,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,interferon_gamma,AIH,30,3.810046465471832,0.07452228404024223,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,oxidative_stress,PSC,17,3.9713964378672246,0.009604550856959234,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,oxidative_stress,ASC,17,3.9896610616079213,0.028724629061110434,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,oxidative_stress,AIH,30,3.985721274757033,0.029250529727001925,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,apoptotic_signaling,PSC,17,3.8472765433011875,0.014946183161702459,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,apoptotic_signaling,ASC,17,3.8644786302267162,0.03445035490652509,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,apoptotic_signaling,AIH,30,3.867200368920916,0.03589212234663138,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g1_dn_without_comparators,PSC,17,3.611642344021952,0.02270639649415912,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g1_dn_without_comparators,ASC,17,3.5955453640220725,0.056917303588785266,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,ets2_g1_dn_without_comparators,AIH,30,3.6217208950506166,0.08028404492936646,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,reactome_ecm_organization,PSC,17,3.1617194132824986,0.04567703116877256,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,reactome_ecm_organization,ASC,17,3.188937651744073,0.0848693052887251,finite_positive,available,mean_of_member_log2_1_plus_CPM
plus_reciprocal_entrez,reactome_ecm_organization,AIH,30,3.1330691084681033,0.06772062023114506,finite_positive,available,mean_of_member_log2_1_plus_CPM
