gene_id,gene_name,transcript_id,strand,start0,end0,model_tss_query_coordinate0
ENSG00000160007,ARHGAP35,ENST00000596593.1,+,46989583,46997750,46989583
ENSG00000160007,ARHGAP35,ENST00000598548.1,+,46999084,46999815,46999084
ENSG00000160007,ARHGAP35,ENST00000599284.1,+,46999097,47000949,46999097
ENSG00000160007,ARHGAP35,ENST00000672722.1,+,46860996,47005077,46860996
ENSG00000160007,ARHGAP35,ENST00000700035.1,+,46920782,46952263,46920782
ENSG00000160013,PTGIR,ENST00000291294.7,-,46620467,46625089,46625089
ENSG00000160013,PTGIR,ENST00000594275.1,-,46621166,46625072,46625072
ENSG00000160013,PTGIR,ENST00000595460.1,-,46622721,46624747,46624747
ENSG00000160013,PTGIR,ENST00000596260.1,-,46623129,46625037,46625037
ENSG00000160013,PTGIR,ENST00000597185.1,-,46621166,46625072,46625072
ENSG00000160013,PTGIR,ENST00000598865.5,-,46621166,46625072,46625072
ENSG00000160014,CALM3,ENST00000291295.14,+,46601329,46610782,46601329
ENSG00000160014,CALM3,ENST00000391918.6,+,46601073,46609305,46601073
ENSG00000160014,CALM3,ENST00000477244.5,+,46601308,46609275,46601308
ENSG00000160014,CALM3,ENST00000482455.5,+,46605192,46609243,46605192
ENSG00000160014,CALM3,ENST00000486500.1,+,46607961,46610781,46607961
ENSG00000160014,CALM3,ENST00000594523.5,+,46601365,46609182,46601365
ENSG00000160014,CALM3,ENST00000595072.2,+,46601344,46609234,46601344
ENSG00000160014,CALM3,ENST00000596362.1,+,46602071,46609770,46602071
ENSG00000160014,CALM3,ENST00000597743.5,+,46601275,46609319,46601275
ENSG00000160014,CALM3,ENST00000597868.5,+,46601366,46609305,46601366
ENSG00000160014,CALM3,ENST00000598871.5,+,46601329,46609190,46601329
ENSG00000160014,CALM3,ENST00000599839.5,+,46602068,46609996,46602068
ENSG00000160014,CALM3,ENST00000602169.2,+,46601346,46609303,46601346
ENSG00000167414,GNG8,ENST00000300873.5,-,46634014,46636541,46636541
ENSG00000167414,GNG8,ENST00000693335.1,-,46633952,46636202,46636202
ENSG00000169515,CCDC8,ENST00000307522.5,-,46410328,46413564,46413564
ENSG00000169515,CCDC8,ENST00000697726.1,-,46410328,46413564,46413564
ENSG00000181027,FKRP,ENST00000318584.10,+,46746056,46758575,46746056
ENSG00000181027,FKRP,ENST00000391909.7,+,46746056,46757913,46746056
ENSG00000181027,FKRP,ENST00000593800.5,+,46746057,46755753,46746057
ENSG00000181027,FKRP,ENST00000593875.5,+,46746056,46755709,46746056
ENSG00000181027,FKRP,ENST00000593877.1,+,46747658,46755463,46747658
ENSG00000181027,FKRP,ENST00000593902.1,+,46748757,46755861,46748757
ENSG00000181027,FKRP,ENST00000593995.5,+,46746056,46748963,46746056
ENSG00000181027,FKRP,ENST00000594467.5,+,46746057,46755984,46746057
ENSG00000181027,FKRP,ENST00000595570.5,+,46746053,46755634,46746053
ENSG00000181027,FKRP,ENST00000595868.5,+,46746057,46755660,46746057
ENSG00000181027,FKRP,ENST00000596460.5,+,46746058,46755655,46746058
ENSG00000181027,FKRP,ENST00000596974.5,+,46746045,46755792,46746045
ENSG00000181027,FKRP,ENST00000597313.5,+,46746056,46755629,46746056
ENSG00000181027,FKRP,ENST00000597339.5,+,46746057,46762006,46746057
ENSG00000181027,FKRP,ENST00000597403.5,+,46746060,46748641,46746060
ENSG00000181027,FKRP,ENST00000598271.5,+,46746056,46755537,46746056
ENSG00000181027,FKRP,ENST00000600005.5,+,46746057,46755792,46746057
ENSG00000181027,FKRP,ENST00000600227.5,+,46746057,46755768,46746057
ENSG00000181027,FKRP,ENST00000600629.5,+,46746057,46755690,46746057
ENSG00000181027,FKRP,ENST00000600646.5,+,46746056,46776988,46746056
ENSG00000181027,FKRP,ENST00000600681.5,+,46746057,46748802,46746057
ENSG00000181027,FKRP,ENST00000600834.5,+,46746909,46755666,46746909
ENSG00000181027,FKRP,ENST00000600872.5,+,46746057,46754025,46746057
ENSG00000181027,FKRP,ENST00000600977.5,+,46746056,46755449,46746056
ENSG00000181027,FKRP,ENST00000601299.5,+,46746045,46755937,46746045
ENSG00000181027,FKRP,ENST00000602181.5,+,46746057,46755737,46746057
ENSG00000181027,FKRP,ENST00000602250.5,+,46746057,46755610,46746057
ENSG00000182013,PNMA8A,ENST00000313683.15,-,46466502,46471563,46471563
ENSG00000182013,PNMA8A,ENST00000438932.2,-,46466490,46471407,46471407
ENSG00000182013,PNMA8A,ENST00000602246.1,-,46468527,46471563,46471563
ENSG00000188293,IGFL1,ENST00000437936.2,+,46229741,46231243,46229741
ENSG00000197380,DACT3,ENST00000300875.4,-,46647611,46654657,46654657
ENSG00000197380,DACT3,ENST00000391916.7,-,46647550,46661182,46661182
ENSG00000197380,DACT3,ENST00000410105.2,-,46650147,46661138,46661138
ENSG00000199796,RNU6-924P,ENST00000362926.1,-,46306469,46306577,46306577
ENSG00000204850,ENSG00000204850,ENST00000377652.4,+,46494507,46496502,46494507
ENSG00000204851,PNMA8B,ENST00000594749.1,-,46486905,46495879,46495879
ENSG00000204851,PNMA8B,ENST00000599531.2,-,46491190,46495867,46495867
ENSG00000211513,MIR320E,ENST00000390179.5,-,46709292,46709345,46709345
ENSG00000222614,Y_RNA,ENST00000410682.1,+,46736311,46736419,46736311
ENSG00000230510,PPP5D1P,ENST00000675805.3,-,46525662,46527072,46527072
ENSG00000243560,RN7SL364P,ENST00000473668.3,-,46688796,46689068,46689068
ENSG00000245598,DACT3-AS1,ENST00000500689.1,+,46661477,46671341,46661477
ENSG00000245598,DACT3-AS1,ENST00000525008.5,+,46660363,46677447,46660363
ENSG00000245598,DACT3-AS1,ENST00000525352.1,+,46661984,46673636,46661984
ENSG00000245598,DACT3-AS1,ENST00000690000.1,+,46661561,46678991,46661561
ENSG00000245598,DACT3-AS1,ENST00000692220.1,+,46661610,46662592,46661610
ENSG00000249210,GAPDHP38,ENST00000503632.1,+,46558640,46559642,46558640
ENSG00000265134,MIR3190,ENST00000577414.1,+,47226941,47227021,47226941
ENSG00000268238,IGFL1P2,ENST00000593820.1,-,46260419,46260858,46260858
ENSG00000268460,ENSG00000268460,ENST00000593980.1,+,46203425,46212575,46203425
ENSG00000268460,ENSG00000268460,ENST00000596066.1,+,46206742,46210088,46206742
ENSG00000268460,ENSG00000268460,ENST00000598170.1,+,46210241,46214837,46210241
ENSG00000268460,ENSG00000268460,ENST00000656054.1,+,46201551,46206758,46201551
ENSG00000268460,ENSG00000268460,ENST00000656560.1,+,46201962,46214838,46201962
ENSG00000268460,ENSG00000268460,ENST00000666402.1,+,46201579,46214838,46201579
ENSG00000268621,IGFL2-AS1,ENST00000594027.6,-,46189028,46203083,46203083
ENSG00000268621,IGFL2-AS1,ENST00000595673.1,-,46200786,46203083,46203083
ENSG00000268621,IGFL2-AS1,ENST00000598518.6,-,46189382,46203083,46203083
ENSG00000268621,IGFL2-AS1,ENST00000598754.1,-,46198099,46202966,46202966
ENSG00000268621,IGFL2-AS1,ENST00000599817.6,-,46195570,46203083,46203083
ENSG00000268621,IGFL2-AS1,ENST00000601263.1,-,46198286,46202929,46202929
ENSG00000268621,IGFL2-AS1,ENST00000663593.1,-,46189028,46203083,46203083
ENSG00000268621,IGFL2-AS1,ENST00000663652.1,-,46198059,46203117,46203117
ENSG00000268621,IGFL2-AS1,ENST00000664765.1,-,46189028,46203083,46203083
ENSG00000268621,IGFL2-AS1,ENST00000666136.1,-,46189028,46203083,46203083
ENSG00000268621,IGFL2-AS1,ENST00000667831.1,-,46189028,46203083,46203083
ENSG00000268621,IGFL2-AS1,ENST00000668528.1,-,46189841,46203083,46203083
ENSG00000268621,IGFL2-AS1,ENST00000669846.1,-,46189028,46203083,46203083
ENSG00000268621,IGFL2-AS1,ENST00000670157.1,-,46194852,46203160,46203160
ENSG00000268810,ENSG00000268810,ENST00000599645.1,-,46382491,46383169,46383169
ENSG00000268879,IGFL1P1,ENST00000599950.1,+,46196237,46197323,46196237
ENSG00000269014,ENSG00000269014,ENST00000597106.1,-,46826894,46828440,46828440
ENSG00000269124,ENSG00000269124,ENST00000596807.1,-,46320196,46340004,46340004
ENSG00000269151,ENSG00000269151,ENST00000686393.2,-,46393358,46404276,46404276
ENSG00000269151,ENSG00000269151,ENST00000700827.1,-,46403666,46404276,46404276
ENSG00000269292,ENSG00000269292,ENST00000597609.1,-,46609276,46610779,46610779
ENSG00000269487,ENSG00000269487,ENST00000600716.1,+,46728602,46732700,46728602
ENSG00000269576,HNRNPMP2,ENST00000596369.1,+,46809584,46810183,46809584
ENSG00000269637,RPL12P41,ENST00000599500.1,+,46219422,46219920,46219422
ENSG00000269745,ENSG00000269745,ENST00000597337.1,-,46228963,46230388,46230388
ENSG00000275719,ENSG00000275719,ENST00000612522.1,+,46787814,46789039,46787814
ENSG00000275719,ENSG00000275719,ENST00000617006.1,+,46787814,46789043,46787814
ENSG00000275862,ENSG00000275862,ENST00000621170.1,+,46809582,46810182,46809582
ENSG00000277531,PNMA8C,ENST00000617053.3,-,46424696,46428936,46428936
ENSG00000277748,ENSG00000277748,ENST00000613498.1,-,46249393,46250163,46250163
ENSG00000278797,ENSG00000278797,ENST00000614101.1,+,46533668,46534351,46533668
ENSG00000279161,ENSG00000279161,ENST00000624917.1,-,46636809,46639161,46639161
ENSG00000284411,MIR3191,ENST00000636300.1,-,47226943,47227019,47227019
ENSG00000291145,PPP5D1P,ENST00000414155.5,-,46518678,46601200,46601200
ENSG00000291145,PPP5D1P,ENST00000593359.2,-,46525475,46600931,46600931
ENSG00000291145,PPP5D1P,ENST00000593888.4,-,46547055,46600861,46600861
ENSG00000291145,PPP5D1P,ENST00000594701.1,-,46598148,46600925,46600925
ENSG00000291145,PPP5D1P,ENST00000595691.1,-,46481084,46490120,46490120
ENSG00000291145,PPP5D1P,ENST00000598743.2,-,46568077,46589154,46589154
ENSG00000291145,PPP5D1P,ENST00000602017.7,-,46480787,46600989,46600989
ENSG00000291145,PPP5D1P,ENST00000702671.1,-,46481083,46600915,46600915
ENSG00000291298,ENSG00000291298,ENST00000598616.1,-,46390514,46390852,46390852
