archive_region,gene_id,gene_name,ensembl_gene_version,biotype,strand,tss_grch38_1based,present_in_model_transcript_tss_universe
IL2RA,ENSG00000213994,PFKFB3-AS1,4,lncRNA,-1,6204372,True
IL2RA,ENSG00000214015,RPL32P23,3,processed_pseudogene,-1,6071918,True
IL2RA,ENSG00000215244,LINC02649,5,lncRNA,1,6271169,True
IL2RA,ENSG00000223784,LINP1,3,lncRNA,1,6682513,False
IL2RA,ENSG00000225948,LINC02648,3,lncRNA,1,6618716,True
IL2RA,ENSG00000226647,ENSG00000226647,2,lncRNA,-1,5744067,True
IL2RA,ENSG00000226705,SDCBPP1,1,processed_pseudogene,-1,6294684,True
IL2RA,ENSG00000229664,IL2RA-AS1,1,lncRNA,1,6025978,True
IL2RA,ENSG00000232807,ENSG00000232807,3,lncRNA,-1,5945920,True
IL2RA,ENSG00000237943,PRKCQ-AS1,8,lncRNA,1,6580419,True
IL2RA,ENSG00000238366,Y_RNA,1,misc_RNA,-1,6245831,True
IL2RA,ENSG00000240180,RPL12P28,1,processed_pseudogene,-1,5862594,True
IL2RA,ENSG00000251922,ENSG00000251922,1,snoRNA,-1,6017194,True
IL2RA,ENSG00000263628,MIR3155A,1,miRNA,1,6152196,True
IL2RA,ENSG00000270427,NRBF2P5,1,processed_pseudogene,1,5776071,True
IL2RA,ENSG00000272764,ENSG00000272764,1,lncRNA,1,5813985,True
IL2RA,ENSG00000283634,MIR3155B,1,miRNA,-1,6152262,True
IL2RA,ENSG00000288915,ENSG00000288915,2,lncRNA,1,6492439,True
IL2RA,ENSG00000289934,ENSG00000289934,1,lncRNA,-1,6383083,True
IL2RA,ENSG00000300557,ENSG00000300557,1,lncRNA,1,5960203,False
IL2RA,ENSG00000302067,ENSG00000302067,1,lncRNA,1,6382327,False
IL2RA,ENSG00000302099,ENSG00000302099,1,lncRNA,-1,6274178,False
IL2RA,ENSG00000302118,ENSG00000302118,1,lncRNA,-1,6300248,False
IL2RA,ENSG00000302136,ENSG00000302136,1,lncRNA,-1,6401905,False
IL2RA,ENSG00000302151,ENSG00000302151,1,lncRNA,-1,6271663,False
IL2RA,ENSG00000302173,ENSG00000302173,1,lncRNA,1,6318095,False
IL2RA,ENSG00000309490,ENSG00000309490,1,lncRNA,-1,6141672,False
IL2RA,ENSG00000309505,ENSG00000309505,1,lncRNA,1,6126593,False
IL2RA,ENSG00000309520,ENSG00000309520,1,lncRNA,1,6120026,False
IL2RA,ENSG00000309541,ENSG00000309541,1,lncRNA,1,6140560,False
IL2RA,ENSG00000309556,ENSG00000309556,1,lncRNA,1,6130003,False
