sample_accession,source_title,source_description,source_sample_label,source_replicate_number,source_compound_label,source_stimulation,existing_condition_key,confirmed_donor_group,donor_group_status,source_id
GSM2228406,MEK SMI 4,Blood sample SAM636555 - Treatment: MEK SMI 4,SAM636555,4,MEKi,Unstimulated,meki_unstim,,"unresolved; replicate number is a candidate block, not a confirmed donor",geo-gse84161-soft
GSM2228407,LPS 4,Blood sample SAM636556 - Treatment: LPS 4,SAM636556,4,Vehicle,LPS,vehicle_lps,,"unresolved; replicate number is a candidate block, not a confirmed donor",geo-gse84161-soft
GSM2228408,Tpl-2 SMI + LPS 4,Blood sample SAM636557 - Treatment: Tpl-2 SMI + LPS 4,SAM636557,4,TPL2i,LPS,tpl2i_lps,,"unresolved; replicate number is a candidate block, not a confirmed donor",geo-gse84161-soft
GSM2228409,MEK SMI + LPS 4,Blood sample SAM636558 - Treatment: MEK SMI + LPS 4,SAM636558,4,MEKi,LPS,meki_lps,,"unresolved; replicate number is a candidate block, not a confirmed donor",geo-gse84161-soft
GSM2228410,Untreated 5,Blood sample SAM636559 - Treatment: Untreated 5,SAM636559,5,Vehicle,Unstimulated,untreated_unstim,,"unresolved; replicate number is a candidate block, not a confirmed donor",geo-gse84161-soft
GSM2228411,Tpl-2 SMI 5,Blood sample SAM636560 - Treatment: Tpl-2 SMI 5,SAM636560,5,TPL2i,Unstimulated,tpl2i_unstim,,"unresolved; replicate number is a candidate block, not a confirmed donor",geo-gse84161-soft
GSM2228412,MEK SMI 5,Blood sample SAM636561 - Treatment: MEK SMI 5,SAM636561,5,MEKi,Unstimulated,meki_unstim,,"unresolved; replicate number is a candidate block, not a confirmed donor",geo-gse84161-soft
GSM2228413,LPS 5,Blood sample SAM636562 - Treatment: LPS 5,SAM636562,5,Vehicle,LPS,vehicle_lps,,"unresolved; replicate number is a candidate block, not a confirmed donor",geo-gse84161-soft
GSM2228414,Tpl-2 SMI + LPS 5,Blood sample SAM636563 - Treatment: Tpl-2 SMI + LPS 5,SAM636563,5,TPL2i,LPS,tpl2i_lps,,"unresolved; replicate number is a candidate block, not a confirmed donor",geo-gse84161-soft
GSM2228415,MEK SMI + LPS 5,Blood sample SAM636564 - Treatment: MEK SMI + LPS 5,SAM636564,5,MEKi,LPS,meki_lps,,"unresolved; replicate number is a candidate block, not a confirmed donor",geo-gse84161-soft
