dataset_key,dataset_id,modality,suspension_type,assay,program_id,threshold,left_population,right_population,contrast_role,comparison,left_observed_donors,right_observed_donors,left_score_eligible_donors,right_score_eligible_donors,score_available_pairs,status,paired_donors,median_delta,minimum_delta,maximum_delta,positive_delta_count,loo_median_min,loo_median_max,loo_evaluable_count,interpretation
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,7,8,7,evaluable_descriptive,7,-0.05467225851212465,-0.12804138727544867,0.1307466172980556,2,-0.06340667384965393,-0.049112627739384074,7,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,8,8,8,evaluable_descriptive,8,0.010621352819854213,-0.08675837657092078,0.1910547041998205,5,0.007119751030586485,0.01412295460912194,8,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,3,6,3,evaluable_descriptive,3,-0.25604315655030785,-0.30562080805795944,-0.23019901556959077,0,,,0,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,6,6,5,evaluable_descriptive,5,-0.05467225851212465,-0.1009901068814445,0.08382627790649533,1,-0.06340667384965393,-0.049112627739384074,5,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,7,6,6,evaluable_descriptive,6,0.05289810909019366,-0.06964996321175665,0.1910547041998205,5,0.01412295460912194,0.09167326357126537,6,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn_without_comparators,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,4,8,4,evaluable_descriptive,4,-0.24789598448514516,-0.27757688632829236,-0.1765289813780173,0,-0.2736925021343479,-0.2220994668359424,4,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn_without_comparators,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,7,8,7,evaluable_descriptive,7,-0.08425278472953135,-0.1569073047071754,0.15542008515754713,2,-0.08491271772417264,-0.05766341727446411,7,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn_without_comparators,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,8,8,8,evaluable_descriptive,8,-0.027151098714757627,-0.1588279819166054,0.18550263431834946,3,-0.041858430532402124,-0.012443766897113129,8,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn_without_comparators,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,3,6,3,evaluable_descriptive,3,-0.2736925021343479,-0.27757688632829236,-0.2220994668359424,0,,,0,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn_without_comparators,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,6,6,5,evaluable_descriptive,5,-0.08425278472953135,-0.10150449928315819,0.08905559714209677,1,-0.08491271772417264,-0.05766341727446411,5,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn_without_comparators,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,7,6,6,evaluable_descriptive,6,-0.005100023255368846,-0.08187661637206212,0.18550263431834946,3,-0.012443766897113129,0.0022437203863754362,6,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_up,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,4,8,4,evaluable_descriptive,4,0.19924158413431714,0.11435563944383809,0.25434644725804123,4,0.15491032271563743,0.24357284555299685,4,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_up,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,7,8,7,evaluable_descriptive,7,0.05540377480834646,-0.01126198177168014,0.1204460296342047,5,0.027925570885192208,0.07973698899952408,7,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_up,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,8,8,8,evaluable_descriptive,8,0.01554332438819861,-0.12676896016487404,0.10019404576268531,4,-0.012267243100766656,0.043353891877163875,8,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_up,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,3,6,3,evaluable_descriptive,3,0.24357284555299685,0.15491032271563743,0.25434644725804123,3,,,0,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_up,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,6,6,5,evaluable_descriptive,5,0.05540377480834646,-0.01126198177168014,0.1204460296342047,3,0.024742075059820845,0.0839610081834361,5,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_up,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,7,6,6,evaluable_descriptive,6,0.01554332438819861,-0.12676896016487404,0.10019404576268531,3,-0.012267243100766656,0.043353891877163875,6,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g2_dn,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,4,8,4,evaluable_descriptive,4,-0.2212343722252066,-0.28072449793477716,-0.18966775294161575,0,-0.23148610285891014,-0.21098264159150304,4,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g2_dn,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,7,8,7,evaluable_descriptive,7,-0.022201501085267417,-0.11874870884700428,0.09191574888405629,2,-0.048674334653056484,-0.019903496664105624,7,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g2_dn,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,8,8,8,evaluable_descriptive,8,-0.05369448360493623,-0.24470243668709468,0.12039294643821563,2,-0.06377915405235868,-0.04360981315751378,8,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g2_dn,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,3,6,3,evaluable_descriptive,3,-0.23148610285891014,-0.28072449793477716,-0.21098264159150304,0,,,0,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g2_dn,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,6,6,5,evaluable_descriptive,5,-0.022201501085267417,-0.11874870884700428,0.02854850467157455,1,-0.04973879134821546,-0.019903496664105624,5,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g2_dn,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,7,6,6,evaluable_descriptive,6,-0.040222853981910056,-0.16581037027824497,0.12039294643821563,2,-0.06377915405235868,-0.016666553911461435,6,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,inflammation,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,4,8,4,evaluable_descriptive,4,-0.0990444200532068,-0.25738334589264156,-0.02762938910628865,0,-0.15738586519105535,-0.040702974915358237,4,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,inflammation,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,7,8,7,evaluable_descriptive,7,-0.03873232142121319,-0.09820315209495778,0.0990833405772018,3,-0.04309175499652529,-0.00988025649088664,7,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,inflammation,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,8,8,8,evaluable_descriptive,8,0.07131164801715228,-0.14694581214818925,0.11860077942087122,7,0.06494060882565122,0.07768268720865334,8,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,inflammation,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,3,6,3,evaluable_descriptive,3,-0.040702974915358237,-0.25738334589264156,-0.02762938910628865,0,,,0,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,inflammation,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,6,6,5,evaluable_descriptive,5,-0.03873232142121319,-0.09820315209495778,0.0990833405772018,2,-0.047354411210478675,-0.00988025649088664,5,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,inflammation,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,7,6,6,evaluable_descriptive,6,0.0779268923829104,-0.14694581214818925,0.11860077942087122,5,0.07768268720865334,0.07817109755716745,6,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,interferon_gamma,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,4,8,4,evaluable_descriptive,4,-0.09579142077987757,-0.1471491693275313,-0.047046756458417605,0,-0.09828652418370121,-0.09329631737605393,4,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,interferon_gamma,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,7,8,7,evaluable_descriptive,7,-0.04891152209995209,-0.22099007019475092,0.026034272159510152,2,-0.08845865580939316,-0.02935034441347173,7,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,interferon_gamma,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,8,8,8,evaluable_descriptive,8,-0.09410094578784745,-0.3765948510995214,-0.012975380710826379,0,-0.15312017484782503,-0.03508171672786986,8,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,interferon_gamma,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,3,6,3,evaluable_descriptive,3,-0.09329631737605393,-0.1471491693275313,-0.047046756458417605,0,,,0,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,interferon_gamma,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,6,6,5,evaluable_descriptive,5,-0.12800578951883423,-0.22099007019475092,0.026034272159510152,1,-0.13920812799017446,-0.0688974781229128,5,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,interferon_gamma,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,7,6,6,evaluable_descriptive,6,-0.12121339240221762,-0.3765948510995214,-0.012975380710826379,0,-0.2073450680765654,-0.03508171672786986,6,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,oxidative_stress,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,4,8,4,evaluable_descriptive,4,-0.14529117894111643,-0.20690875814330845,-0.05542095687804105,0,-0.20112721897265384,-0.08945513890957901,4,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,oxidative_stress,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,7,8,7,evaluable_descriptive,7,-0.030998598695646695,-0.16278102796773153,0.03510183800438771,3,-0.04365563520669791,-0.015262121700871267,7,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,oxidative_stress,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,8,8,8,evaluable_descriptive,8,-0.02863732573382305,-0.15041536327474514,0.022045542968054388,2,-0.043695248882997806,-0.013579402584648292,8,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,oxidative_stress,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,3,6,3,evaluable_descriptive,3,-0.08945513890957901,-0.20690875814330845,-0.05542095687804105,0,,,0,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,oxidative_stress,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,6,6,5,evaluable_descriptive,5,-0.05631267171774912,-0.16278102796773153,0.03510183800438771,2,-0.07464432336344151,-0.01397488242880729,5,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,oxidative_stress,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,7,6,6,evaluable_descriptive,6,-0.05806467008034821,-0.15041536327474514,-0.012496548683830433,0,-0.07243409127769862,-0.043695248882997806,6,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,apoptotic_signaling,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,0,7,0,6,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,apoptotic_signaling,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,0,7,0,6,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,apoptotic_signaling,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,7,7,6,6,6,evaluable_descriptive,6,0.025969902727991157,-0.09746560906226343,0.1434930616706609,4,0.007444724423291138,0.044495081032691175,6,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,apoptotic_signaling,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,0,7,0,5,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,apoptotic_signaling,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,0,7,0,5,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,apoptotic_signaling,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,7,7,5,5,5,evaluable_descriptive,5,0.007444724423291138,-0.09746560906226343,0.047152110186956975,3,-0.007986078135753472,0.025969902727991157,5,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,chr21_dn,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,0,7,0,6,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,chr21_dn,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,0,7,0,6,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,chr21_dn,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,7,7,6,6,6,evaluable_descriptive,6,0.23226016491932766,-0.07632143594173346,0.4400646301252742,5,0.2189434140334443,0.24557691580521102,6,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,chr21_dn,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,0,7,0,5,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,chr21_dn,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,0,7,0,5,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,chr21_dn,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,7,7,5,5,5,evaluable_descriptive,5,0.24557691580521102,0.0674367014841204,0.4400646301252742,5,0.23226016491932766,0.28613145725974176,5,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,ets2_g1_dn,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,0,7,0,6,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,ets2_g1_dn,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,0,7,0,6,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,ets2_g1_dn,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,7,7,6,6,6,evaluable_descriptive,6,0.1155701447012838,0.022059953650316544,0.17523984323463626,6,0.10247531413846023,0.12866497526410736,6,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,ets2_g1_dn,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,0,7,0,5,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,ets2_g1_dn,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,0,7,0,5,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,ets2_g1_dn,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,7,7,5,5,5,evaluable_descriptive,5,0.10247531413846023,0.022059953650316544,0.17523984323463626,5,0.08881572057133758,0.13230821895788614,5,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,ets2_g1_dn_without_comparators,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,0,7,0,6,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,ets2_g1_dn_without_comparators,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,0,7,0,6,0,insufficient_paired_donors,0,,,,0,,,0,descriptive_within_donor_assay_only
sn,1873a18a-66fd-4a4d-8277-a872c93f5b59,sn,nucleus,10x 3' v3,ets2_g1_dn_without_comparators,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,7,7,6,6,6,evaluable_descriptive,6,0.12882891745997105,0.004707146102352233,0.17187453435931488,6,0.11427401234174095,0.14338382257820115,6,descriptive_within_donor_assay_only
