experiment_id,code_member,code_member_bytes,code_member_sha256,sample_index,sample_name_literal,target_as_coded,donor_as_coded,included_in_model,contrast_id,contrast_formula,condition_left_as_coded,condition_right_as_coded,design_note
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,2,1_ets2_d500ng,ets2_d500ng,1,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,3,1_rev_d250ng,rev_d250ng,1,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,4,1_rev_d500ng,rev_d500ng,1,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,5,2_ets2_d250ng,ets2_d250ng,2,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,6,2_ets2_d500ng,ets2_d500ng,2,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,7,2_rev_d250ng,rev_d250ng,2,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,8,2_rev_d500ng,rev_d500ng,2,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,9,3_ets2_d250ng,ets2_d250ng,3,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,10,3_ets2_d500ng,ets2_d500ng,3,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,11,3_rev_d250ng,rev_d250ng,3,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,12,3_rev_d500ng,rev_d500ng,3,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,13,4_ets2_d250ng,ets2_d250ng,4,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,14,4_ets2_d500ng,ets2_d500ng,4,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,15,4_rev_d250ng,rev_d250ng,4,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,16,4_rev_d500ng,rev_d500ng,4,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,17,5_ets2_d250ng,ets2_d250ng,5,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,18,5_ets2_d500ng,ets2_d500ng,5,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,19,5_rev_d250ng,rev_d250ng,5,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,20,5_rev_d500ng,rev_d500ng,5,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,21,6_ets2_d250ng,ets2_d250ng,6,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,22,6_ets2_d500ng,ets2_d500ng,6,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,23,6_rev_d250ng,rev_d250ng,6,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,24,6_rev_d500ng,rev_d500ng,6,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is rev_d500ng; 500ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
