study_id,dataset_id,study_label,sample_group,tissue_id,tissue_label,condition_label,sample_size,quant_method,pmid,study_type,release,cohort_family,context_scope,prior_analysis,query_status,query_scope,primary_variant_status,primary_variant_gene_rows,maximum_PSC_marginal_weight_if_primary_absent
QTS000026,QTD000504,Schmiedel_2018,monocyte_naive,CL_0002057,monocyte,naive,91,ge,30449622,bulk,r7,Schmiedel_2018,blood-monocyte,True,prior-complete-region; missing-required-PSC-variant,complete prior PRKD2 regional rows,no-exact-target-gene-row,0.0,0.796391448353907
QTS000036,QTD000593,Randolph_2021,highly_infected_flu,CL_0002057,monocyte,Influenza_6h,52,ge,34822289,single-cell,r7,Randolph_2021,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000036,QTD000594,Randolph_2021,infected_monocytes_flu,CL_0002057,monocyte,Influenza_6h,78,ge,34822289,single-cell,r7,Randolph_2021,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000036,QTD000595,Randolph_2021,monocytes_NI,CL_0002057,monocyte,naive,87,ge,34822289,single-cell,r7,Randolph_2021,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000036,QTD000596,Randolph_2021,monocytes_flu,CL_0002057,monocyte,Influenza_6h,84,ge,34822289,single-cell,r7,Randolph_2021,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000037,QTD000603,Perez_2022,cM,CL_0002057,monocyte,naive,165,ge,35389781,single-cell,r7,Perez_2022,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000037,QTD000604,Perez_2022,ncM,CL_0002396,CD16+ monocyte,naive,162,ge,35389781,single-cell,r7,Perez_2022,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000038,QTD000609,OneK1K,CD14_Mono,CL_0002057,monocyte,naive,560,ge,35389779,single-cell,r7,OneK1K,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000038,QTD000610,OneK1K,CD16_Mono,CL_0002396,CD16+ monocyte,naive,373,ge,35389779,single-cell,r7,OneK1K,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000042,QTD000752,Kim-Hellmuth_2017,monocyte_naive,CL_0002057,monocyte,naive,96,microarray,28814792,bulk,r7,Kim-Hellmuth_2017,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000042,QTD000753,Kim-Hellmuth_2017,monocyte_IVT_6h,CL_0002057,monocyte,IVT_6h,96,microarray,28814792,bulk,r7,Kim-Hellmuth_2017,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000042,QTD000754,Kim-Hellmuth_2017,monocyte_IVT_90min,CL_0002057,monocyte,IVT_90min,96,microarray,28814792,bulk,r7,Kim-Hellmuth_2017,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000042,QTD000755,Kim-Hellmuth_2017,monocyte_LPS_6h,CL_0002057,monocyte,LPS_6h,96,microarray,28814792,bulk,r7,Kim-Hellmuth_2017,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000042,QTD000756,Kim-Hellmuth_2017,monocyte_LPS_90min,CL_0002057,monocyte,LPS_90min,96,microarray,28814792,bulk,r7,Kim-Hellmuth_2017,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000042,QTD000757,Kim-Hellmuth_2017,monocyte_MDP_6h,CL_0002057,monocyte,MDP_6h,96,microarray,28814792,bulk,r7,Kim-Hellmuth_2017,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000042,QTD000758,Kim-Hellmuth_2017,monocyte_MDP_90min,CL_0002057,monocyte,MDP_90min,96,microarray,28814792,bulk,r7,Kim-Hellmuth_2017,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000045,QTD000773,IBDverse,Classical_monocytes,CL_0000860,classical monocyte,naive,95,ge,42236949,single-cell,r8_beta,IBDverse,blood-monocyte,False,access-or-format-failure,HTTP Error 404: Not Found,not-accessible,,
QTS000045,QTD000774,IBDverse,Intermediate_monocytes,CL_0002393,intermediate monocyte,naive,93,ge,42236949,single-cell,r8_beta,IBDverse,blood-monocyte,False,access-or-format-failure,HTTP Error 404: Not Found,not-accessible,,
QTS000045,QTD000776,IBDverse,Non-classical_monocytes,CL_0000875,non-classical monocyte,naive,92,ge,42236949,single-cell,r8_beta,IBDverse,blood-monocyte,False,access-or-format-failure,HTTP Error 404: Not Found,not-accessible,,
QTS000045,QTD000833,IBDverse,Monocytes_S100A8_9+,CL_0000576,monocyte,naive,65,ge,42236949,single-cell,r8_beta,IBDverse,blood-monocyte,False,access-or-format-failure,HTTP Error 404: Not Found,not-accessible,,
QTS000046,QTD000844,Randolph_2021_reannotated,Classical_monocytes_NI,CL_0000860,classical monocyte,naive,71,ge,34822289,single-cell,r8_beta,Randolph_2021,blood-monocyte,False,missing-required-PSC-variant,complete PRKD2 gene rows in the fixed region,no-exact-target-gene-row,0.0,0.796391448353907
QTS000047,QTD000866,Perez_2022_reannotated,Classical_monocytes,CL_0000860,classical monocyte,naive,155,ge,35389781,single-cell,r8_beta,Perez_2022,blood-monocyte,False,missing-required-PSC-variant,complete PRKD2 gene rows in the fixed region,no-exact-target-gene-row,0.0,0.796391448353907
QTS000047,QTD000873,Perez_2022_reannotated,Non-classical_monocytes,CL_0000875,non-classical monocyte,naive,152,ge,35389781,single-cell,r8_beta,Perez_2022,blood-monocyte,False,missing-required-PSC-variant,complete PRKD2 gene rows in the fixed region,no-exact-target-gene-row,0.0,0.796391448353907
QTS000048,QTD000883,OneK1K_reannotated,Classical_monocytes,CL_0000860,classical monocyte,naive,596,ge,35389779,single-cell,r8_beta,OneK1K,blood-monocyte,False,missing-required-PSC-variant,complete PRKD2 gene rows in the fixed region,no-exact-target-gene-row,0.0,0.796391448353907
QTS000048,QTD000888,OneK1K_reannotated,Non-classical_monocytes,CL_0000875,non-classical monocyte,naive,367,ge,35389779,single-cell,r8_beta,OneK1K,blood-monocyte,False,missing-required-PSC-variant,complete PRKD2 gene rows in the fixed region,no-exact-target-gene-row,0.0,0.796391448353907
QTS000051,QTD000924,Natri_2024,Inflammatory_monocyte,CL_0000860,classical monocyte,naive,100,ge,38548990,single-cell,r8_beta,Natri_2024,lung-secondary,False,access-or-format-failure,HTTP Error 404: Not Found,not-accessible,,
QTS000051,QTD000926,Natri_2024,Monocyte,CL_0000860,classical monocyte,naive,81,ge,38548990,single-cell,r8_beta,Natri_2024,lung-secondary,False,access-or-format-failure,HTTP Error 404: Not Found,not-accessible,,
QTS000058,QTD001030,Nassiri_2025,monocyte_naive,CL_0002057,monocyte,naive,177,ge,41022800,bulk,r8_beta,Nassiri_2025,blood-monocyte,False,access-or-format-failure,HTTP Error 404: Not Found,not-accessible,,
QTS000058,QTD001036,Nassiri_2025,monocyte_IFN,CL_0002057,monocyte,IFNg_24h,139,ge,41022800,bulk,r8_beta,Nassiri_2025,blood-monocyte,False,access-or-format-failure,HTTP Error 404: Not Found,not-accessible,,
QTS000058,QTD001042,Nassiri_2025,monocyte_LPS24,CL_0002057,monocyte,LPS_24h,176,ge,41022800,bulk,r8_beta,Nassiri_2025,blood-monocyte,False,access-or-format-failure,HTTP Error 404: Not Found,not-accessible,,
