scenario_id,exon_number,exon_id,genomic_start_1based,genomic_end_1based,cdna_start_0based,cdna_end_0based_exclusive
ENST00000291535.12__plus29_C,6,ENSE00003689328,42418401,42418609,849,1058
ENST00000291535.12__plus29_C,7,ENSE00003601029,42426697,42426820,1058,1182
ENST00000291535.12__plus29_C,8,ENSE00003568239,42432103,42432202,1182,1282
ENST00000291535.12__plus29_C,9,ENSE00001259628,42434832,42434983,1282,1434
ENST00000291535.12__plus29_C,10,ENSE00001050381,42437488,42437580,1434,1527
ENST00000291535.12__plus29_C,11,ENSE00003471164,42442452,42442596,1527,1672
ENST00000291535.12__plus29_C,12,ENSE00003593464,42443312,42443418,1672,1779
ENST00000291535.12__plus29_C,13,ENSE00003665179,42444534,42444643,1779,1889
ENST00000291535.12__plus29_C,14,ENSE00004779413,42447057,42447684,1889,2517
ENST00000319294.11__normal_A,1,ENSE00001884887,42403902,42404058,0,157
ENST00000319294.11__normal_A,2,ENSE00003583784,42406308,42406361,157,211
ENST00000319294.11__normal_A,3,ENSE00003588403,42409422,42409608,211,398
ENST00000319294.11__normal_A,4,ENSE00003658789,42413024,42413222,398,597
ENST00000319294.11__normal_A,5,ENSE00001050389,42413410,42413523,597,711
ENST00000319294.11__normal_A,6,ENSE00003563179,42416442,42416611,711,881
ENST00000319294.11__normal_A,7,ENSE00003689328,42418401,42418609,881,1090
ENST00000319294.11__normal_A,8,ENSE00003601029,42426697,42426820,1090,1214
ENST00000319294.11__normal_A,9,ENSE00003568239,42432103,42432202,1214,1314
ENST00000319294.11__normal_A,10,ENSE00001259628,42434832,42434954,1314,1437
ENST00000319294.11__normal_A,11,ENSE00001050381,42437488,42437580,1437,1530
ENST00000319294.11__normal_A,12,ENSE00003471164,42442452,42442596,1530,1675
ENST00000319294.11__normal_A,13,ENSE00003593464,42443312,42443418,1675,1782
ENST00000319294.11__normal_A,14,ENSE00003665179,42444534,42444643,1782,1892
ENST00000319294.11__normal_A,15,ENSE00004779413,42447057,42447684,1892,2520
ENST00000319294.11__normal_C,1,ENSE00001884887,42403902,42404058,0,157
ENST00000319294.11__normal_C,2,ENSE00003583784,42406308,42406361,157,211
ENST00000319294.11__normal_C,3,ENSE00003588403,42409422,42409608,211,398
ENST00000319294.11__normal_C,4,ENSE00003658789,42413024,42413222,398,597
ENST00000319294.11__normal_C,5,ENSE00001050389,42413410,42413523,597,711
ENST00000319294.11__normal_C,6,ENSE00003563179,42416442,42416611,711,881
ENST00000319294.11__normal_C,7,ENSE00003689328,42418401,42418609,881,1090
ENST00000319294.11__normal_C,8,ENSE00003601029,42426697,42426820,1090,1214
ENST00000319294.11__normal_C,9,ENSE00003568239,42432103,42432202,1214,1314
ENST00000319294.11__normal_C,10,ENSE00001259628,42434832,42434954,1314,1437
ENST00000319294.11__normal_C,11,ENSE00001050381,42437488,42437580,1437,1530
ENST00000319294.11__normal_C,12,ENSE00003471164,42442452,42442596,1530,1675
ENST00000319294.11__normal_C,13,ENSE00003593464,42443312,42443418,1675,1782
ENST00000319294.11__normal_C,14,ENSE00003665179,42444534,42444643,1782,1892
ENST00000319294.11__normal_C,15,ENSE00004779413,42447057,42447684,1892,2520
ENST00000319294.11__plus29_A,1,ENSE00001884887,42403902,42404058,0,157
ENST00000319294.11__plus29_A,2,ENSE00003583784,42406308,42406361,157,211
ENST00000319294.11__plus29_A,3,ENSE00003588403,42409422,42409608,211,398
ENST00000319294.11__plus29_A,4,ENSE00003658789,42413024,42413222,398,597
ENST00000319294.11__plus29_A,5,ENSE00001050389,42413410,42413523,597,711
ENST00000319294.11__plus29_A,6,ENSE00003563179,42416442,42416611,711,881
ENST00000319294.11__plus29_A,7,ENSE00003689328,42418401,42418609,881,1090
ENST00000319294.11__plus29_A,8,ENSE00003601029,42426697,42426820,1090,1214
ENST00000319294.11__plus29_A,9,ENSE00003568239,42432103,42432202,1214,1314
ENST00000319294.11__plus29_A,10,ENSE00001259628,42434832,42434983,1314,1466
ENST00000319294.11__plus29_A,11,ENSE00001050381,42437488,42437580,1466,1559
ENST00000319294.11__plus29_A,12,ENSE00003471164,42442452,42442596,1559,1704
ENST00000319294.11__plus29_A,13,ENSE00003593464,42443312,42443418,1704,1811
ENST00000319294.11__plus29_A,14,ENSE00003665179,42444534,42444643,1811,1921
ENST00000319294.11__plus29_A,15,ENSE00004779413,42447057,42447684,1921,2549
ENST00000319294.11__plus29_C,1,ENSE00001884887,42403902,42404058,0,157
ENST00000319294.11__plus29_C,2,ENSE00003583784,42406308,42406361,157,211
ENST00000319294.11__plus29_C,3,ENSE00003588403,42409422,42409608,211,398
ENST00000319294.11__plus29_C,4,ENSE00003658789,42413024,42413222,398,597
ENST00000319294.11__plus29_C,5,ENSE00001050389,42413410,42413523,597,711
ENST00000319294.11__plus29_C,6,ENSE00003563179,42416442,42416611,711,881
ENST00000319294.11__plus29_C,7,ENSE00003689328,42418401,42418609,881,1090
ENST00000319294.11__plus29_C,8,ENSE00003601029,42426697,42426820,1090,1214
ENST00000319294.11__plus29_C,9,ENSE00003568239,42432103,42432202,1214,1314
ENST00000319294.11__plus29_C,10,ENSE00001259628,42434832,42434983,1314,1466
ENST00000319294.11__plus29_C,11,ENSE00001050381,42437488,42437580,1466,1559
ENST00000319294.11__plus29_C,12,ENSE00003471164,42442452,42442596,1559,1704
ENST00000319294.11__plus29_C,13,ENSE00003593464,42443312,42443418,1704,1811
ENST00000319294.11__plus29_C,14,ENSE00003665179,42444534,42444643,1811,1921
ENST00000319294.11__plus29_C,15,ENSE00004779413,42447057,42447684,1921,2549
ENST00000398367.2__normal_A,1,ENSE00004779414,42403820,42404058,0,239
ENST00000398367.2__normal_A,2,ENSE00003583784,42406308,42406361,239,293
ENST00000398367.2__normal_A,3,ENSE00003588403,42409422,42409608,293,480
ENST00000398367.2__normal_A,4,ENSE00003658789,42413024,42413222,480,679
ENST00000398367.2__normal_A,5,ENSE00003563179,42416442,42416611,679,849
ENST00000398367.2__normal_A,6,ENSE00003689328,42418401,42418609,849,1058
ENST00000398367.2__normal_A,7,ENSE00003601029,42426697,42426820,1058,1182
ENST00000398367.2__normal_A,8,ENSE00003568239,42432103,42432202,1182,1282
ENST00000398367.2__normal_A,9,ENSE00001259628,42434832,42434954,1282,1405
ENST00000398367.2__normal_A,10,ENSE00001050381,42437488,42437580,1405,1498
ENST00000398367.2__normal_A,11,ENSE00003471164,42442452,42442596,1498,1643
ENST00000398367.2__normal_A,12,ENSE00004779412,42447057,42447684,1643,2271
ENST00000398367.2__normal_C,1,ENSE00004779414,42403820,42404058,0,239
ENST00000398367.2__normal_C,2,ENSE00003583784,42406308,42406361,239,293
ENST00000398367.2__normal_C,3,ENSE00003588403,42409422,42409608,293,480
ENST00000398367.2__normal_C,4,ENSE00003658789,42413024,42413222,480,679
ENST00000398367.2__normal_C,5,ENSE00003563179,42416442,42416611,679,849
ENST00000398367.2__normal_C,6,ENSE00003689328,42418401,42418609,849,1058
ENST00000398367.2__normal_C,7,ENSE00003601029,42426697,42426820,1058,1182
ENST00000398367.2__normal_C,8,ENSE00003568239,42432103,42432202,1182,1282
ENST00000398367.2__normal_C,9,ENSE00001259628,42434832,42434954,1282,1405
ENST00000398367.2__normal_C,10,ENSE00001050381,42437488,42437580,1405,1498
ENST00000398367.2__normal_C,11,ENSE00003471164,42442452,42442596,1498,1643
ENST00000398367.2__normal_C,12,ENSE00004779412,42447057,42447684,1643,2271
ENST00000398367.2__plus29_A,1,ENSE00004779414,42403820,42404058,0,239
ENST00000398367.2__plus29_A,2,ENSE00003583784,42406308,42406361,239,293
ENST00000398367.2__plus29_A,3,ENSE00003588403,42409422,42409608,293,480
ENST00000398367.2__plus29_A,4,ENSE00003658789,42413024,42413222,480,679
ENST00000398367.2__plus29_A,5,ENSE00003563179,42416442,42416611,679,849
ENST00000398367.2__plus29_A,6,ENSE00003689328,42418401,42418609,849,1058
ENST00000398367.2__plus29_A,7,ENSE00003601029,42426697,42426820,1058,1182
ENST00000398367.2__plus29_A,8,ENSE00003568239,42432103,42432202,1182,1282
ENST00000398367.2__plus29_A,9,ENSE00001259628,42434832,42434983,1282,1434
ENST00000398367.2__plus29_A,10,ENSE00001050381,42437488,42437580,1434,1527
ENST00000398367.2__plus29_A,11,ENSE00003471164,42442452,42442596,1527,1672
ENST00000398367.2__plus29_A,12,ENSE00004779412,42447057,42447684,1672,2300
ENST00000398367.2__plus29_C,1,ENSE00004779414,42403820,42404058,0,239
ENST00000398367.2__plus29_C,2,ENSE00003583784,42406308,42406361,239,293
ENST00000398367.2__plus29_C,3,ENSE00003588403,42409422,42409608,293,480
ENST00000398367.2__plus29_C,4,ENSE00003658789,42413024,42413222,480,679
ENST00000398367.2__plus29_C,5,ENSE00003563179,42416442,42416611,679,849
ENST00000398367.2__plus29_C,6,ENSE00003689328,42418401,42418609,849,1058
ENST00000398367.2__plus29_C,7,ENSE00003601029,42426697,42426820,1058,1182
ENST00000398367.2__plus29_C,8,ENSE00003568239,42432103,42432202,1182,1282
ENST00000398367.2__plus29_C,9,ENSE00001259628,42434832,42434983,1282,1434
ENST00000398367.2__plus29_C,10,ENSE00001050381,42437488,42437580,1434,1527
ENST00000398367.2__plus29_C,11,ENSE00003471164,42442452,42442596,1527,1672
ENST00000398367.2__plus29_C,12,ENSE00004779412,42447057,42447684,1672,2300
ENST00000635325.1__normal_A,1,ENSE00003789992,42403881,42404058,0,178
ENST00000635325.1__normal_A,2,ENSE00003583784,42406308,42406361,178,232
ENST00000635325.1__normal_A,3,ENSE00003588403,42409422,42409608,232,419
ENST00000635325.1__normal_A,4,ENSE00003658789,42413024,42413222,419,618
ENST00000635325.1__normal_A,5,ENSE00003563179,42416442,42416611,618,788
ENST00000635325.1__normal_A,6,ENSE00003689328,42418401,42418609,788,997
ENST00000635325.1__normal_A,7,ENSE00003601029,42426697,42426820,997,1121
ENST00000635325.1__normal_A,8,ENSE00003568239,42432103,42432202,1121,1221
ENST00000635325.1__normal_A,9,ENSE00001259628,42434832,42434954,1221,1344
ENST00000635325.1__normal_A,10,ENSE00001050381,42437488,42437580,1344,1437
ENST00000635325.1__normal_A,11,ENSE00003471164,42442452,42442596,1437,1582
ENST00000635325.1__normal_A,12,ENSE00003785493,42443154,42443418,1582,1847
ENST00000635325.1__normal_A,13,ENSE00003490390,42444534,42444643,1847,1957
ENST00000635325.1__normal_A,14,ENSE00003788035,42447057,42447194,1957,2095
ENST00000635325.1__normal_C,1,ENSE00003789992,42403881,42404058,0,178
ENST00000635325.1__normal_C,2,ENSE00003583784,42406308,42406361,178,232
ENST00000635325.1__normal_C,3,ENSE00003588403,42409422,42409608,232,419
ENST00000635325.1__normal_C,4,ENSE00003658789,42413024,42413222,419,618
ENST00000635325.1__normal_C,5,ENSE00003563179,42416442,42416611,618,788
ENST00000635325.1__normal_C,6,ENSE00003689328,42418401,42418609,788,997
ENST00000635325.1__normal_C,7,ENSE00003601029,42426697,42426820,997,1121
ENST00000635325.1__normal_C,8,ENSE00003568239,42432103,42432202,1121,1221
ENST00000635325.1__normal_C,9,ENSE00001259628,42434832,42434954,1221,1344
ENST00000635325.1__normal_C,10,ENSE00001050381,42437488,42437580,1344,1437
ENST00000635325.1__normal_C,11,ENSE00003471164,42442452,42442596,1437,1582
ENST00000635325.1__normal_C,12,ENSE00003785493,42443154,42443418,1582,1847
ENST00000635325.1__normal_C,13,ENSE00003490390,42444534,42444643,1847,1957
ENST00000635325.1__normal_C,14,ENSE00003788035,42447057,42447194,1957,2095
ENST00000635325.1__plus29_A,1,ENSE00003789992,42403881,42404058,0,178
ENST00000635325.1__plus29_A,2,ENSE00003583784,42406308,42406361,178,232
ENST00000635325.1__plus29_A,3,ENSE00003588403,42409422,42409608,232,419
ENST00000635325.1__plus29_A,4,ENSE00003658789,42413024,42413222,419,618
ENST00000635325.1__plus29_A,5,ENSE00003563179,42416442,42416611,618,788
ENST00000635325.1__plus29_A,6,ENSE00003689328,42418401,42418609,788,997
ENST00000635325.1__plus29_A,7,ENSE00003601029,42426697,42426820,997,1121
ENST00000635325.1__plus29_A,8,ENSE00003568239,42432103,42432202,1121,1221
ENST00000635325.1__plus29_A,9,ENSE00001259628,42434832,42434983,1221,1373
ENST00000635325.1__plus29_A,10,ENSE00001050381,42437488,42437580,1373,1466
ENST00000635325.1__plus29_A,11,ENSE00003471164,42442452,42442596,1466,1611
ENST00000635325.1__plus29_A,12,ENSE00003785493,42443154,42443418,1611,1876
ENST00000635325.1__plus29_A,13,ENSE00003490390,42444534,42444643,1876,1986
ENST00000635325.1__plus29_A,14,ENSE00003788035,42447057,42447194,1986,2124
ENST00000635325.1__plus29_C,1,ENSE00003789992,42403881,42404058,0,178
ENST00000635325.1__plus29_C,2,ENSE00003583784,42406308,42406361,178,232
ENST00000635325.1__plus29_C,3,ENSE00003588403,42409422,42409608,232,419
ENST00000635325.1__plus29_C,4,ENSE00003658789,42413024,42413222,419,618
ENST00000635325.1__plus29_C,5,ENSE00003563179,42416442,42416611,618,788
ENST00000635325.1__plus29_C,6,ENSE00003689328,42418401,42418609,788,997
ENST00000635325.1__plus29_C,7,ENSE00003601029,42426697,42426820,997,1121
ENST00000635325.1__plus29_C,8,ENSE00003568239,42432103,42432202,1121,1221
ENST00000635325.1__plus29_C,9,ENSE00001259628,42434832,42434983,1221,1373
ENST00000635325.1__plus29_C,10,ENSE00001050381,42437488,42437580,1373,1466
ENST00000635325.1__plus29_C,11,ENSE00003471164,42442452,42442596,1466,1611
ENST00000635325.1__plus29_C,12,ENSE00003785493,42443154,42443418,1611,1876
ENST00000635325.1__plus29_C,13,ENSE00003490390,42444534,42444643,1876,1986
ENST00000635325.1__plus29_C,14,ENSE00003788035,42447057,42447194,1986,2124
ENST00001131803.1__normal_A,1,ENSE00004779414,42403820,42404058,0,239
ENST00001131803.1__normal_A,2,ENSE00003583784,42406308,42406361,239,293
ENST00001131803.1__normal_A,3,ENSE00003588403,42409422,42409608,293,480
ENST00001131803.1__normal_A,4,ENSE00003658789,42413024,42413222,480,679
ENST00001131803.1__normal_A,5,ENSE00001050389,42413410,42413523,679,793
ENST00001131803.1__normal_A,6,ENSE00003563179,42416442,42416611,793,963
ENST00001131803.1__normal_A,7,ENSE00003689328,42418401,42418609,963,1172
ENST00001131803.1__normal_A,8,ENSE00003601029,42426697,42426820,1172,1296
ENST00001131803.1__normal_A,9,ENSE00003568239,42432103,42432202,1296,1396
ENST00001131803.1__normal_A,10,ENSE00001259628,42434832,42434954,1396,1519
ENST00001131803.1__normal_A,11,ENSE00001050381,42437488,42437580,1519,1612
ENST00001131803.1__normal_A,12,ENSE00003471164,42442452,42442596,1612,1757
ENST00001131803.1__normal_A,13,ENSE00003593464,42443312,42443418,1757,1864
ENST00001131803.1__normal_A,14,ENSE00003665179,42444534,42444643,1864,1974
ENST00001131803.1__normal_A,15,ENSE00004779413,42447057,42447684,1974,2602
ENST00001131803.1__normal_C,1,ENSE00004779414,42403820,42404058,0,239
ENST00001131803.1__normal_C,2,ENSE00003583784,42406308,42406361,239,293
ENST00001131803.1__normal_C,3,ENSE00003588403,42409422,42409608,293,480
ENST00001131803.1__normal_C,4,ENSE00003658789,42413024,42413222,480,679
ENST00001131803.1__normal_C,5,ENSE00001050389,42413410,42413523,679,793
ENST00001131803.1__normal_C,6,ENSE00003563179,42416442,42416611,793,963
ENST00001131803.1__normal_C,7,ENSE00003689328,42418401,42418609,963,1172
ENST00001131803.1__normal_C,8,ENSE00003601029,42426697,42426820,1172,1296
ENST00001131803.1__normal_C,9,ENSE00003568239,42432103,42432202,1296,1396
ENST00001131803.1__normal_C,10,ENSE00001259628,42434832,42434954,1396,1519
ENST00001131803.1__normal_C,11,ENSE00001050381,42437488,42437580,1519,1612
ENST00001131803.1__normal_C,12,ENSE00003471164,42442452,42442596,1612,1757
ENST00001131803.1__normal_C,13,ENSE00003593464,42443312,42443418,1757,1864
ENST00001131803.1__normal_C,14,ENSE00003665179,42444534,42444643,1864,1974
ENST00001131803.1__normal_C,15,ENSE00004779413,42447057,42447684,1974,2602
ENST00001131803.1__plus29_A,1,ENSE00004779414,42403820,42404058,0,239
ENST00001131803.1__plus29_A,2,ENSE00003583784,42406308,42406361,239,293
ENST00001131803.1__plus29_A,3,ENSE00003588403,42409422,42409608,293,480
ENST00001131803.1__plus29_A,4,ENSE00003658789,42413024,42413222,480,679
ENST00001131803.1__plus29_A,5,ENSE00001050389,42413410,42413523,679,793
ENST00001131803.1__plus29_A,6,ENSE00003563179,42416442,42416611,793,963
ENST00001131803.1__plus29_A,7,ENSE00003689328,42418401,42418609,963,1172
ENST00001131803.1__plus29_A,8,ENSE00003601029,42426697,42426820,1172,1296
ENST00001131803.1__plus29_A,9,ENSE00003568239,42432103,42432202,1296,1396
ENST00001131803.1__plus29_A,10,ENSE00001259628,42434832,42434983,1396,1548
ENST00001131803.1__plus29_A,11,ENSE00001050381,42437488,42437580,1548,1641
ENST00001131803.1__plus29_A,12,ENSE00003471164,42442452,42442596,1641,1786
ENST00001131803.1__plus29_A,13,ENSE00003593464,42443312,42443418,1786,1893
ENST00001131803.1__plus29_A,14,ENSE00003665179,42444534,42444643,1893,2003
ENST00001131803.1__plus29_A,15,ENSE00004779413,42447057,42447684,2003,2631
ENST00001131803.1__plus29_C,1,ENSE00004779414,42403820,42404058,0,239
ENST00001131803.1__plus29_C,2,ENSE00003583784,42406308,42406361,239,293
ENST00001131803.1__plus29_C,3,ENSE00003588403,42409422,42409608,293,480
ENST00001131803.1__plus29_C,4,ENSE00003658789,42413024,42413222,480,679
ENST00001131803.1__plus29_C,5,ENSE00001050389,42413410,42413523,679,793
ENST00001131803.1__plus29_C,6,ENSE00003563179,42416442,42416611,793,963
ENST00001131803.1__plus29_C,7,ENSE00003689328,42418401,42418609,963,1172
ENST00001131803.1__plus29_C,8,ENSE00003601029,42426697,42426820,1172,1296
ENST00001131803.1__plus29_C,9,ENSE00003568239,42432103,42432202,1296,1396
ENST00001131803.1__plus29_C,10,ENSE00001259628,42434832,42434983,1396,1548
ENST00001131803.1__plus29_C,11,ENSE00001050381,42437488,42437580,1548,1641
ENST00001131803.1__plus29_C,12,ENSE00003471164,42442452,42442596,1641,1786
ENST00001131803.1__plus29_C,13,ENSE00003593464,42443312,42443418,1786,1893
ENST00001131803.1__plus29_C,14,ENSE00003665179,42444534,42444643,1893,2003
ENST00001131803.1__plus29_C,15,ENSE00004779413,42447057,42447684,2003,2631
