database_id,set_id,source_group,source_record_id,source_header,sequence_sha256,protein_length
P_3a35b812a661c14931c36c83,previous_twenty_models,previous_models,ENST00000291535.12__plus29_A,ENST00000291535.12__plus29_A terminal_stop_omitted splice=plus29 allele=A conditional_sequence_only,3a35b812a661c14931c36c83514e950bfa15c5db121e8c54bffc888511f10378,498
P_3dd398be4c5322f624324bb3,previous_twenty_models,previous_models,ENST00000291535.12__plus29_C,ENST00000291535.12__plus29_C terminal_stop_omitted splice=plus29 allele=C conditional_sequence_only,3dd398be4c5322f624324bb317ba9306037c65f3d893dc5f034386597f16f8d0,498
P_66021c9cb2037fee58fabaca,previous_twenty_models,previous_models,ENST00000319294.11__normal_A,ENST00000319294.11__normal_A terminal_stop_omitted splice=normal allele=A conditional_sequence_only,66021c9cb2037fee58fabacac260fd27f7a13ddeb61df5ea34c1f1c22a179c20,661
P_66021c9cb2037fee58fabaca,previous_twenty_models,previous_models,ENST00000319294.11__normal_C,ENST00000319294.11__normal_C terminal_stop_omitted splice=normal allele=C conditional_sequence_only,66021c9cb2037fee58fabacac260fd27f7a13ddeb61df5ea34c1f1c22a179c20,661
P_e2a017c93d90f05b2d7ac4a0,previous_twenty_models,previous_models,ENST00000319294.11__plus29_A,ENST00000319294.11__plus29_A terminal_stop_omitted splice=plus29 allele=A conditional_sequence_only,e2a017c93d90f05b2d7ac4a02b2d737d5fe12fa62ef8d8d9ea8eab0154ba61c9,536
P_d7fc081f11b8bb92c464a775,previous_twenty_models,previous_models,ENST00000319294.11__plus29_C,ENST00000319294.11__plus29_C terminal_stop_omitted splice=plus29 allele=C conditional_sequence_only,d7fc081f11b8bb92c464a775eac450aeb7a5c8fe9045291e2a382c4b59af40ed,536
P_c44e917f5b472291489e91ff,previous_twenty_models,previous_models,ENST00000398367.2__normal_A,ENST00000398367.2__normal_A terminal_stop_omitted splice=normal allele=A conditional_sequence_only,c44e917f5b472291489e91ff0ed0c9ff30151907c95fb0fc2cd966d857f4e9ce,526
P_c44e917f5b472291489e91ff,previous_twenty_models,previous_models,ENST00000398367.2__normal_C,ENST00000398367.2__normal_C terminal_stop_omitted splice=normal allele=C conditional_sequence_only,c44e917f5b472291489e91ff0ed0c9ff30151907c95fb0fc2cd966d857f4e9ce,526
P_3a35b812a661c14931c36c83,previous_twenty_models,previous_models,ENST00000398367.2__plus29_A,ENST00000398367.2__plus29_A terminal_stop_omitted splice=plus29 allele=A conditional_sequence_only,3a35b812a661c14931c36c83514e950bfa15c5db121e8c54bffc888511f10378,498
P_3dd398be4c5322f624324bb3,previous_twenty_models,previous_models,ENST00000398367.2__plus29_C,ENST00000398367.2__plus29_C terminal_stop_omitted splice=plus29 allele=C conditional_sequence_only,3dd398be4c5322f624324bb317ba9306037c65f3d893dc5f034386597f16f8d0,498
P_8f0975cc852f62113aad5f68,previous_twenty_models,previous_models,ENST00000635325.1__normal_A,ENST00000635325.1__normal_A terminal_stop_omitted splice=normal allele=A conditional_sequence_only,8f0975cc852f62113aad5f68e4343728e63ad80e2fb7d939155dd7aa34090f6d,521
P_8f0975cc852f62113aad5f68,previous_twenty_models,previous_models,ENST00000635325.1__normal_C,ENST00000635325.1__normal_C terminal_stop_omitted splice=normal allele=C conditional_sequence_only,8f0975cc852f62113aad5f68e4343728e63ad80e2fb7d939155dd7aa34090f6d,521
P_3a35b812a661c14931c36c83,previous_twenty_models,previous_models,ENST00000635325.1__plus29_A,ENST00000635325.1__plus29_A terminal_stop_omitted splice=plus29 allele=A conditional_sequence_only,3a35b812a661c14931c36c83514e950bfa15c5db121e8c54bffc888511f10378,498
P_3dd398be4c5322f624324bb3,previous_twenty_models,previous_models,ENST00000635325.1__plus29_C,ENST00000635325.1__plus29_C terminal_stop_omitted splice=plus29 allele=C conditional_sequence_only,3dd398be4c5322f624324bb317ba9306037c65f3d893dc5f034386597f16f8d0,498
P_66021c9cb2037fee58fabaca,previous_twenty_models,previous_models,ENST00001131803.1__normal_A,ENST00001131803.1__normal_A terminal_stop_omitted splice=normal allele=A conditional_sequence_only,66021c9cb2037fee58fabacac260fd27f7a13ddeb61df5ea34c1f1c22a179c20,661
P_66021c9cb2037fee58fabaca,previous_twenty_models,previous_models,ENST00001131803.1__normal_C,ENST00001131803.1__normal_C terminal_stop_omitted splice=normal allele=C conditional_sequence_only,66021c9cb2037fee58fabacac260fd27f7a13ddeb61df5ea34c1f1c22a179c20,661
P_e2a017c93d90f05b2d7ac4a0,previous_twenty_models,previous_models,ENST00001131803.1__plus29_A,ENST00001131803.1__plus29_A terminal_stop_omitted splice=plus29 allele=A conditional_sequence_only,e2a017c93d90f05b2d7ac4a02b2d737d5fe12fa62ef8d8d9ea8eab0154ba61c9,536
P_d7fc081f11b8bb92c464a775,previous_twenty_models,previous_models,ENST00001131803.1__plus29_C,ENST00001131803.1__plus29_C terminal_stop_omitted splice=plus29 allele=C conditional_sequence_only,d7fc081f11b8bb92c464a775eac450aeb7a5c8fe9045291e2a382c4b59af40ed,536
P_e5ee77c6e56806d50071c273,T29_conditional_alleles,conditional_T29,T29__A,T29__A conditional_translation_not_observed_protein,e5ee77c6e56806d50071c273ae229c6c4a560a1d8a7118a998bd7702113c9bdb,482
P_4ff7c8d44116c90050c8f908,T29_conditional_alleles,conditional_T29,T29__C,T29__C conditional_translation_not_observed_protein,4ff7c8d44116c90050c8f908e55206aa48acfb62d1a0bf7bbb15df2c74d9d55a,482
